Session,Game,Turns,Elapsed,Winners
20180425_125501,0,1000,26,
20180425_125501,1,1000,21,
20180425_125501,2,1000,28,
20180425_125501,3,118,5,Player 2
20180425_125501,4,1000,26,
20180425_125501,5,46,2,Player 2
20180425_125501,6,1000,34,
20180425_125501,7,550,14,Player 2
20180425_125501,8,29,1,Player 1
20180425_125501,9,27,0,Player 1
20180425_125501,10,25,1,Player 1
20180425_125501,11,86,2,Player 2
20180425_125501,12,64,3,Player 2
20180425_125501,13,1000,22,
20180425_125501,14,19,1,Player 1
20180425_125501,15,17,0,Player 1
20180425_125501,16,710,20,Player 2
20180425_125501,17,1000,26,
20180425_125501,18,2,0,Player 2
20180425_125501,19,2,0,Player 2
20180425_125501,20,8,0,Player 2
20180425_125501,21,2,0,Player 2
20180425_125501,22,330,12,Player 2
20180425_125501,23,224,9,Player 2
20180425_125501,24,452,12,Player 2
20180425_125501,25,1000,22,
20180425_125501,26,22,1,Player 2
20180425_125501,27,1000,23,
20180425_125501,28,1000,19,
20180425_125501,29,302,7,Player 2
20180425_125501,30,1000,19,
20180425_125501,31,1000,21,
20180425_125501,32,352,10,Player 2
20180425_125501,33,1000,24,
20180425_125501,34,1000,34,
20180425_125501,35,1000,28,
20180425_125501,36,1000,22,
20180425_125501,37,148,5,Player 2
20180425_125501,38,280,9,Player 2
20180425_125501,39,1000,25,
20180425_125501,40,380,15,Player 2
20180425_125501,41,1000,28,
20180425_125501,42,32,0,Player 2
20180425_125501,43,1000,20,
20180425_125501,44,1000,32,
20180425_125501,45,1000,24,
20180425_125501,46,436,13,Player 2
20180425_125501,47,506,14,Player 2
20180425_125501,48,472,10,Player 2
20180425_125501,49,1000,21,
20180425_125501,50,4,0,Player 2
20180425_125501,51,4,0,Player 2
20180425_125501,52,636,18,Player 2
20180425_125501,53,1000,24,
20180425_125501,54,6,0,Player 2
20180425_125501,55,150,6,Player 2
20180425_125501,56,1000,30,
20180425_125501,57,1000,20,
20180425_125501,58,1000,16,
20180425_125501,59,156,4,Player 2
20180425_125501,60,398,9,Player 2
20180425_125501,61,1000,20,
20180425_125501,62,1000,18,
20180425_125501,63,1000,31,
20180425_125501,64,1000,20,
20180425_125501,65,242,6,Player 2
20180425_125501,66,1000,24,
20180425_125501,67,1000,30,
20180425_125501,68,346,11,Player 2
20180425_125501,69,62,2,Player 2
20180425_125501,70,1000,26,
20180425_125501,71,1000,20,
20180425_125501,72,113,5,Player 1
20180425_125501,73,67,2,Player 1
20180425_125501,74,11,0,Player 1
20180425_125501,75,11,0,Player 1
20180425_125501,76,11,0,Player 1
20180425_125501,77,11,0,Player 1
20180425_125501,78,11,0,Player 1
20180425_125501,79,11,0,Player 1
20180425_125501,80,11,0,Player 1
20180425_125501,81,13,0,Player 1
20180425_125501,82,11,0,Player 1
20180425_125501,83,9,0,Player 1
20180425_125501,84,446,19,Player 2
20180425_125501,85,26,0,Player 2
20180425_125501,86,200,5,Player 2
20180425_125501,87,28,0,Player 2
20180425_125501,88,616,14,Player 2
20180425_125501,89,1000,24,
20180425_125501,90,140,4,Player 2
20180425_125501,91,1000,32,
20180425_125501,92,1000,26,
20180425_125501,93,490,14,Player 2
20180425_125501,94,1000,27,
20180425_125501,95,564,13,Player 2
20180425_125501,96,19,0,Player 1
20180425_125501,97,21,1,Player 1
20180425_125501,98,226,6,Player 2
20180425_125501,99,26,0,Player 2
20180425_125501,100,46,1,Player 2
20180425_125501,101,128,3,Player 2
20180425_125501,102,1000,22,
20180425_125501,103,42,1,Player 2
20180425_125501,104,396,15,Player 2
20180425_125501,105,1000,18,
20180425_125501,106,584,13,Player 2
20180425_125501,107,862,21,Player 2
20180425_125501,108,1000,29,
20180425_125501,109,208,8,Player 2
20180425_125501,110,1000,27,
20180425_125501,111,1000,26,
20180425_125501,112,82,2,Player 2
20180425_125501,113,238,7,Player 2
20180425_125501,114,23,0,Player 1
20180425_125501,115,25,1,Player 1
20180425_125501,116,25,0,Player 1
20180425_125501,117,21,0,Player 1
20180425_125501,118,1000,18,
20180425_125501,119,5,0,Player 1
20180425_125501,120,5,0,Player 1
20180425_125501,121,5,0,Player 1
20180425_125501,122,5,0,Player 1
20180425_125501,123,5,0,Player 1
20180425_125501,124,5,0,Player 1
20180425_125501,125,5,0,Player 1
20180425_125501,126,5,0,Player 1
20180425_125501,127,1000,23,
20180425_125501,128,1000,25,
20180425_125501,129,176,6,Player 2
20180425_125501,130,1000,25,
20180425_125501,131,787,19,Player 1
20180425_125501,132,1000,22,
20180425_125501,133,1000,26,
20180425_125501,134,1000,33,
20180425_125501,135,1000,23,
20180425_125501,136,1000,18,
20180425_125501,137,112,3,Player 2
20180425_125501,138,138,4,Player 2
20180425_125501,139,162,4,Player 2
20180425_125501,140,14,0,Player 2
20180425_125501,141,62,2,Player 2
20180425_125501,142,66,2,Player 2
20180425_125501,143,280,9,Player 2
20180425_125501,144,126,3,Player 2
20180425_125501,145,86,2,Player 2
20180425_125501,146,1000,17,
20180425_125501,147,1000,25,
20180425_125501,148,276,6,Player 2
20180425_125501,149,1000,16,
20180425_125501,150,1000,23,
20180425_125501,151,5,0,Player 1
20180425_125501,152,5,0,Player 1
20180425_125501,153,5,0,Player 1
20180425_125501,154,5,0,Player 1
20180425_125501,155,5,0,Player 1
20180425_125501,156,5,0,Player 1
20180425_125501,157,5,0,Player 1
20180425_125501,158,5,0,Player 1
20180425_125501,159,5,0,Player 1
20180425_125501,160,5,0,Player 1
20180425_125501,161,5,0,Player 1
20180425_125501,162,5,0,Player 1
20180425_125501,163,1000,22,
20180425_125501,164,1000,36,
20180425_125501,165,1000,36,
20180425_125501,166,1000,24,
20180425_125501,167,1000,26,
20180425_125501,168,1000,28,
20180425_125501,169,1000,24,
20180425_125501,170,148,5,Player 2
20180425_125501,171,122,4,Player 2
20180425_125501,172,1000,26,
20180425_125501,173,460,14,Player 2
20180425_125501,174,1000,21,
20180425_125501,175,492,15,Player 2
20180425_125501,176,1000,21,
20180425_125501,177,1000,28,
20180425_125501,178,972,27,Player 2
20180425_125501,179,758,23,Player 2
20180425_125501,180,222,7,Player 2
20180425_125501,181,846,19,Player 2
20180425_125501,182,1000,23,
20180425_125501,183,386,10,Player 2
20180425_125501,184,1000,24,
20180425_125501,185,1000,19,
20180425_125501,186,1000,25,
20180425_125501,187,642,14,Player 2
20180425_125501,188,1000,28,
20180425_125501,189,800,27,Player 2
20180425_125501,190,1000,25,
