Session,Game,Turns,Elapsed,Winners
20180425_102813,251,255,30,Player 1
20180425_102813,252,1068,100,Player 2
20180425_102813,253,377,72,Player 1
20180425_102813,254,880,75,Player 2
20180425_102813,255,1299,97,Player 2
20180425_102813,256,885,76,Player 2
20180425_102813,257,584,78,Player 2
20180425_102813,258,1958,154,Player 1
20180425_102813,259,1364,105,Player 2
20180425_102813,260,787,87,Player 1
20180425_102813,261,950,75,Player 1
20180425_102813,262,616,70,Player 2
20180425_102813,263,314,38,Player 2
20180425_102813,500,387,286,Player 1
20180425_102813,501,1555,114,Player 2
20180425_102813,264,1862,125,Player 1
20180425_102813,265,15,2,Player 1
20180425_102813,266,377,39,Player 1
20180425_102813,502,653,80,Player 1
20180425_102813,267,231,30,Player 1
20180425_102813,268,738,93,Player 2
20180425_102813,503,1516,143,Player 2
20180425_102813,269,1400,120,Player 1
20180425_102813,504,1819,133,Player 2
20180425_102813,270,923,78,Player 1
20180425_102813,271,168,24,Player 2
20180425_102813,505,413,48,Player 1
20180425_102813,272,120,18,Player 2
20180425_102813,273,444,59,Player 2
20180425_102813,506,1773,133,Player 2
20180425_102813,274,483,59,Player 1
20180425_102813,275,1099,78,Player 1
20180425_102813,507,1162,116,Player 1
20180425_102813,508,478,75,Player 2
20180425_102813,276,1532,134,Player 1
20180425_102813,277,12,8,Player 2
20180425_102813,278,1091,100,Player 1
20180425_102813,509,1929,156,Player 2
20180425_102813,279,1421,84,Player 1
20180425_102813,280,291,36,Player 1
20180425_102813,510,1256,99,Player 2
20180425_102813,281,89,12,Player 1
20180425_102813,511,169,38,Player 1
20180425_102813,282,251,43,Player 1
20180425_102813,512,575,79,Player 1
20180425_102813,283,708,87,Player 2
20180425_102813,513,324,53,Player 2
20180425_102813,284,232,35,Player 2
20180425_102813,285,1002,95,Player 2
20180425_102813,514,1104,107,Player 1
20180425_102813,286,86,12,Player 2
20180425_102813,287,66,9,Player 2
20180425_102813,288,160,22,Player 2
20180425_102813,515,698,91,Player 2
20180425_102813,289,412,56,Player 2
20180425_102813,516,182,39,Player 2
20180425_102813,517,1014,111,Player 2
20180425_102813,290,2000,213,
20180425_102813,291,88,11,Player 2
20180425_102813,518,1547,110,Player 2
20180425_102813,292,1642,97,Player 1
20180425_102813,519,833,105,Player 1
20180425_102813,293,1262,79,Player 1
20180425_102813,520,1195,70,Player 2
20180425_102813,521,110,24,Player 2
20180425_102813,522,36,7,Player 2
20180425_102813,523,148,19,Player 2
20180425_102813,294,1536,89,Player 1
20180425_102813,295,190,22,Player 2
20180425_102813,524,219,34,Player 1
20180425_102813,525,190,46,Player 2
20180425_102813,296,1457,93,Player 2
20180425_102813,297,1584,100,Player 2
20180425_102813,526,1648,157,Player 2
20180425_102813,527,19,2,Player 1
20180425_102813,528,283,35,Player 1
20180425_102813,298,1568,113,Player 1
20180425_102813,529,1557,183,Player 1
20180425_102813,530,798,70,Player 2
20180425_102813,299,2000,193,
20180425_102813,300,111,29,Player 1
20180425_102813,301,35,4,Player 1
20180425_102813,531,583,77,Player 1
20180425_102813,302,397,52,Player 1
20180425_102813,303,47,10,Player 1
20180425_102813,532,270,44,Player 2
20180425_102813,304,293,48,Player 1
20180425_102813,305,340,41,Player 2
20180425_102813,533,1591,136,Player 2
20180425_102813,534,279,39,Player 1
20180425_102813,306,1139,106,Player 1
20180425_102813,535,1065,111,Player 1
20180425_102813,307,1494,111,Player 1
20180425_102813,308,1704,117,Player 1
20180425_102813,536,1734,130,Player 1
20180425_102813,309,331,43,Player 1
20180425_102813,310,244,30,Player 2
20180425_102813,537,606,74,Player 2
20180425_102813,538,1746,106,Player 1
20180425_102813,750,116,527,Player 2
20180425_102813,311,1871,145,Player 2
20180425_102813,539,735,72,Player 1
20180425_102813,540,32,4,Player 2
20180425_102813,751,177,90,Player 1
20180425_102813,312,1356,111,Player 1
20180425_102813,1,22,662,Player 2
20180425_102813,2,116,24,Player 2
20180425_102813,541,676,94,Player 2
20180425_102813,313,323,58,Player 1
20180425_102813,542,185,36,Player 1
20180425_102813,3,117,41,Player 1
20180425_102813,314,1764,105,Player 1
20180425_102813,752,1576,224,Player 1
20180425_102813,543,1205,142,Player 1
20180425_102813,4,1602,170,Player 1
20180425_102813,315,621,81,Player 1
20180425_102813,5,273,40,Player 1
20180425_102813,316,293,35,Player 1
20180425_102813,544,588,73,Player 2
20180425_102813,6,61,24,Player 1
20180425_102813,545,1486,85,Player 1
20180425_102813,317,1405,97,Player 1
20180425_102813,546,398,59,Player 2
20180425_102813,753,1410,265,Player 2
20180425_102813,754,62,16,Player 2
20180425_102813,318,2000,145,
20180425_102813,319,286,42,Player 2
20180425_102813,547,1178,144,Player 2
20180425_102813,7,1205,273,Player 1
20180425_102813,755,384,124,Player 2
20180425_102813,320,544,57,Player 2
20180425_102813,321,86,13,Player 2
20180425_102813,322,36,6,Player 2
20180425_102813,323,217,24,Player 1
20180425_102813,0,1960,339,Player 1
20180425_102813,548,1966,129,Player 1
20180425_102813,8,1600,150,Player 1
20180425_102813,9,51,6,Player 1
20180425_102813,10,159,17,Player 1
20180425_102813,756,1315,177,Player 2
20180425_102813,757,10,1,Player 2
20180425_102813,324,1232,103,Player 1
20180425_102813,11,95,34,Player 1
20180425_102813,758,12,18,Player 2
20180425_102813,16,532,121,Player 2
20180425_102813,325,494,60,Player 2
20180425_102813,549,2000,163,
20180425_102813,759,169,104,Player 1
20180425_102813,17,713,111,Player 1
20180425_102813,326,1099,87,Player 1
20180425_102813,12,269,149,Player 1
20180425_102813,327,155,28,Player 1
20180425_102813,550,786,102,Player 2
20180425_102813,551,19,2,Player 1
20180425_102813,552,5,0,Player 1
20180425_102813,760,887,79,Player 2
20180425_102813,18,196,64,Player 2
20180425_102813,553,167,30,Player 1
20180425_102813,761,131,39,Player 1
20180425_102813,13,685,86,Player 1
20180425_102813,19,217,54,Player 1
20180425_102813,328,2000,119,
20180425_102813,329,82,12,Player 2
20180425_102813,330,771,62,Player 2
20180425_102813,554,1893,168,Player 2
20180425_102813,20,1570,186,Player 1
20180425_102813,14,1887,210,Player 2
20180425_102813,555,704,66,Player 2
20180425_102813,331,1769,118,Player 2
20180425_102813,762,2000,264,
20180425_102813,556,416,80,Player 2
20180425_102813,763,157,41,Player 1
20180425_102813,332,1802,108,Player 2
20180425_102813,15,1972,205,Player 1
20180425_102813,22,33,4,Player 1
20180425_102813,557,1396,126,Player 1
20180425_102813,333,606,69,Player 2
20180425_102813,334,41,6,Player 1
20180425_102813,558,107,14,Player 1
20180425_102813,764,1615,148,Player 2
20180425_102813,23,77,27,Player 1
20180425_102813,335,94,17,Player 2
20180425_102813,559,116,20,Player 2
20180425_102813,24,53,12,Player 1
20180425_102813,336,140,19,Player 2
20180425_102813,765,184,57,Player 2
20180425_102813,250,34,245,Player 2
20180425_102813,337,1467,127,Player 2
20180425_102813,338,224,33,Player 2
20180425_102813,560,1767,184,Player 2
20180425_102813,346,1164,89,Player 1
20180425_102813,347,2,0,Player 2
20180425_102813,561,48,8,Player 2
20180425_102813,25,1778,203,Player 2
20180425_102813,339,535,66,Player 1
20180425_102813,766,2000,207,
20180425_102813,562,550,67,Player 2
20180425_102813,348,684,82,Player 2
20180425_102813,563,196,37,Player 2
20180425_102813,767,341,78,Player 1
20180425_102813,26,1131,130,Player 1
20180425_102813,340,1276,98,Player 2
20180425_102813,341,74,15,Player 2
20180425_102813,349,1761,118,Player 2
20180425_102813,564,1381,97,Player 1
20180425_102813,342,297,40,Player 1
20180425_102813,343,40,6,Player 2
20180425_102813,565,131,26,Player 1
20180425_102813,566,78,18,Player 2
20180425_102813,350,419,53,Player 1
20180425_102813,768,556,114,Player 2
20180425_102813,27,576,113,Player 2
20180425_102813,28,25,5,Player 1
20180425_102813,29,51,10,Player 1
20180425_102813,769,76,23,Player 2
20180425_102813,351,175,27,Player 1
20180425_102813,567,208,36,Player 2
20180425_102813,30,111,14,Player 1
20180425_102813,344,881,81,Player 2
20180425_102813,352,296,50,Player 2
20180425_102813,345,438,68,Player 2
20180425_102813,31,664,135,Player 2
20180425_102813,360,546,67,Player 2
20180425_102813,568,1702,153,Player 1
20180425_102813,770,1417,160,Player 1
20180425_102813,353,1531,135,Player 1
20180425_102813,771,67,12,Player 1
20180425_102813,354,192,28,Player 2
20180425_102813,361,976,96,Player 2
20180425_102813,32,1549,102,Player 1
20180425_102813,355,266,38,Player 2
20180425_102813,569,610,102,Player 2
20180425_102813,33,328,45,Player 2
20180425_102813,362,1292,89,Player 2
20180425_102813,570,1031,87,Player 2
20180425_102813,34,862,78,Player 2
20180425_102813,772,1973,186,Player 2
20180425_102813,773,34,4,Player 2
20180425_102813,774,8,5,Player 2
20180425_102813,775,32,3,Player 2
20180425_102813,356,1950,167,Player 2
20180425_102813,357,29,3,Player 1
20180425_102813,358,10,3,Player 2
20180425_102813,359,8,1,Player 2
20180425_102813,376,4,0,Player 2
20180425_102813,571,1601,101,Player 1
20180425_102813,377,50,16,Player 2
20180425_102813,776,408,75,Player 2
20180425_102813,572,286,49,Player 2
20180425_102813,35,1031,134,Player 1
20180425_102813,363,1800,170,Player 2
20180425_102813,378,1001,91,Player 2
20180425_102813,573,1283,75,Player 1
20180425_102813,36,870,75,Player 1
20180425_102813,574,43,8,Player 1
20180425_102813,364,907,86,Player 2
20180425_102813,777,156,127,Player 2
20180425_102813,575,70,16,Player 2
20180425_102813,37,24,30,Player 2
20180425_102813,379,1611,132,Player 1
20180425_102813,365,776,90,Player 2
20180425_102813,380,42,10,Player 2
20180425_102813,366,60,8,Player 2
20180425_102813,576,1441,106,Player 2
20180425_102813,577,212,21,Player 2
20180425_102813,38,871,129,Player 1
20180425_102813,778,729,148,Player 1
20180425_102813,381,1312,101,Player 1
20180425_102813,367,1167,108,Player 2
20180425_102813,368,1103,71,Player 1
20180425_102813,578,1342,140,Player 2
20180425_102813,382,619,82,Player 1
20180425_102813,39,883,138,Player 1
