Session,Game,Turns,Elapsed,Winners
20180425_133215,0,1000,345,
20180425_133215,1,1000,301,
20180425_133215,2,1000,65,
20180425_133215,3,1000,209,
20180425_133215,4,1000,101,
20180425_133215,5,1000,213,
20180425_133215,6,1000,266,
20180425_133215,7,1000,375,
20180425_133215,8,1000,47,
20180425_133215,9,1000,165,
20180425_133215,10,1000,253,
20180425_133215,11,1000,284,
20180425_133215,12,1000,338,
20180425_133215,13,1000,342,
20180425_133215,14,1000,527,
20180425_133215,15,1000,338,
20180425_133215,16,1000,279,
20180425_133215,17,1000,986,
20180425_133215,18,47,84,Player 1
20180425_133215,19,233,376,Player 1
20180425_133215,20,1000,347,
20180425_133215,21,1000,155,
20180425_133215,22,1000,434,
20180425_133215,23,1000,553,
20180425_133215,24,1000,512,
20180425_133215,25,1000,275,
20180425_133215,26,617,918,Player 1
20180425_133215,27,1000,209,
20180425_133215,28,1000,487,
20180425_133215,29,1000,322,
20180425_133215,30,1000,277,
20180425_133215,31,1000,222,
20180425_133215,32,1000,180,
20180425_133215,33,1000,302,
20180425_133215,34,1000,499,
20180425_133215,35,201,391,Player 1
20180425_133215,36,211,408,Player 1
20180425_133215,37,1000,296,
20180425_133215,38,407,651,Player 1
20180425_133215,39,17,29,Player 1
20180425_133215,40,1000,223,
20180425_133215,41,425,639,Player 1
20180425_133215,42,137,239,Player 1
20180425_133215,43,1000,416,
20180425_133215,44,1000,245,
20180425_133215,45,31,52,Player 1
20180425_133215,46,91,159,Player 1
20180425_133215,47,1000,186,
20180425_133215,48,209,317,Player 1
20180425_133215,49,241,385,Player 1
20180425_133215,50,1000,184,
20180425_133215,51,1000,226,
20180425_133215,52,1000,277,
20180425_133215,53,1000,307,
20180425_133215,54,569,816,Player 1
20180425_133215,55,1000,343,
20180425_133215,56,457,682,Player 1
20180425_133215,57,343,511,Player 1
20180425_133215,58,401,617,Player 1
20180425_133215,59,1000,238,
20180425_133215,60,1000,258,
20180425_133215,61,449,677,Player 1
20180425_133215,62,1000,269,
20180425_133215,63,627,39,Player 1
20180425_133215,64,1000,126,
20180425_133215,65,27,46,Player 1
20180425_133215,66,825,983,Player 1
20180425_133215,67,1000,276,
20180425_133215,68,1000,555,
20180425_133215,69,911,160,Player 1
20180425_133215,70,1000,390,
20180425_133215,71,1000,438,
20180425_133215,72,1000,480,
20180425_133215,73,535,0,Player 1
20180425_133215,74,1000,116,
20180425_133215,75,1000,317,
20180425_133215,76,1000,321,
20180425_133215,77,1000,315,
20180425_133215,78,43,76,Player 1
20180425_133215,79,1000,351,
20180425_133215,80,1000,162,
20180425_133215,81,1000,493,
20180425_133215,82,211,372,Player 1
20180425_133215,83,1000,212,
20180425_133215,84,553,783,Player 1
20180425_133215,85,39,77,Player 1
20180425_133215,86,1000,107,
20180425_133215,87,1000,102,
20180425_133215,88,755,33,Player 1
20180425_133215,89,1000,381,
20180425_133215,90,455,754,Player 1
20180425_133215,91,1000,120,
20180425_133215,92,1000,322,
20180425_133215,93,1000,135,
20180425_133215,94,1000,274,
20180425_133215,95,749,108,Player 1
20180425_133215,96,1000,345,
20180425_133215,97,1000,381,
20180425_133215,98,1000,387,
20180425_133215,99,1000,484,
20180425_133215,100,1000,159,
20180425_133215,101,1000,241,
20180425_133215,102,1000,221,
20180425_133215,103,5,12,Player 1
20180425_133215,104,845,331,Player 1
20180425_133215,105,1000,116,
20180425_133215,106,61,107,Player 1
20180425_133215,107,1000,414,
20180425_133215,108,1000,487,
20180425_133215,109,1000,203,
20180425_133215,110,589,831,Player 1
20180425_133215,111,805,22,Player 1
20180425_133215,112,1000,330,
20180425_133215,113,287,462,Player 1
20180425_133215,114,1000,330,
