Session,Game,Turns,Elapsed,Winners
20180425_125131,0,1000,33,
20180425_125131,1,1000,37,
20180425_125131,2,1000,24,
20180425_125131,3,67,2,Player 1
20180425_125131,4,13,0,Player 1
20180425_125131,5,99,3,Player 1
20180425_125131,6,661,19,Player 1
20180425_125131,7,1000,22,
20180425_125131,8,1000,23,
20180425_125131,9,1000,24,
20180425_125131,10,1000,30,
20180425_125131,11,15,1,Player 1
20180425_125131,12,23,1,Player 1
20180425_125131,13,25,1,Player 1
20180425_125131,14,5,0,Player 1
20180425_125131,15,23,1,Player 1
20180425_125131,16,69,3,Player 1
20180425_125131,17,1000,34,
20180425_125131,18,343,9,Player 1
20180425_125131,19,1000,26,
20180425_125131,20,1000,25,
20180425_125131,21,1000,34,
20180425_125131,22,433,8,Player 1
20180425_125131,23,1000,32,
20180425_125131,24,1000,28,
20180425_125131,25,731,18,Player 1
20180425_125131,26,1000,21,
20180425_125131,27,1000,22,
20180425_125131,28,1000,31,
20180425_125131,29,1000,32,
20180425_125131,30,287,9,Player 1
20180425_125131,31,1000,29,
20180425_125131,32,765,26,Player 1
20180425_125131,33,1000,30,
20180425_125131,34,1000,33,
20180425_125131,35,1000,18,
20180425_125131,36,1000,34,
20180425_125131,37,1000,37,
20180425_125131,38,1000,27,
20180425_125131,39,1000,31,
20180425_125131,40,133,4,Player 1
20180425_125131,41,1000,31,
20180425_125131,42,17,0,Player 1
20180425_125131,43,73,2,Player 1
20180425_125131,44,81,2,Player 1
20180425_125131,45,57,1,Player 1
20180425_125131,46,13,0,Player 1
20180425_125131,47,5,0,Player 1
20180425_125131,48,1,0,Player 1
20180425_125131,49,3,0,Player 1
20180425_125131,50,215,7,Player 1
20180425_125131,51,1000,27,
20180425_125131,52,1000,30,
20180425_125131,53,1000,34,
20180425_125131,54,1000,36,
20180425_125131,55,97,3,Player 1
20180425_125131,56,111,3,Player 1
20180425_125131,57,1000,30,
20180425_125131,58,1000,22,
20180425_125131,59,1000,21,
20180425_125131,60,25,1,Player 1
20180425_125131,61,35,1,Player 1
20180425_125131,62,21,0,Player 1
20180425_125131,63,7,0,Player 1
20180425_125131,64,23,0,Player 1
20180425_125131,65,31,0,Player 1
20180425_125131,66,9,0,Player 1
20180425_125131,67,1000,25,
20180425_125131,68,1000,25,
20180425_125131,69,1000,22,
20180425_125131,70,97,5,Player 1
20180425_125131,71,1000,27,
20180425_125131,72,1000,33,
20180425_125131,73,1000,22,
20180425_125131,74,557,18,Player 1
20180425_125131,75,1000,29,
20180425_125131,76,1000,31,
20180425_125131,77,1000,30,
20180425_125131,78,1000,28,
20180425_125131,79,1000,27,
20180425_125131,80,1000,24,
20180425_125131,81,1000,25,
20180425_125131,82,615,17,Player 1
20180425_125131,83,887,16,Player 1
20180425_125131,84,1000,28,
20180425_125131,85,457,19,Player 1
20180425_125131,86,1000,26,
20180425_125131,87,329,7,Player 1
20180425_125131,88,1000,28,
20180425_125131,89,1000,31,
20180425_125131,90,1000,31,
20180425_125131,91,1000,30,
20180425_125131,92,1000,25,
20180425_125131,93,385,13,Player 1
20180425_125131,94,1000,20,
20180425_125131,95,105,2,Player 1
20180425_125131,96,37,1,Player 1
20180425_125131,97,93,2,Player 1
20180425_125131,98,1000,14,
20180425_125131,99,619,16,Player 1
20180425_125131,100,1000,22,
20180425_125131,101,1000,28,
20180425_125131,102,1000,21,
20180425_125131,103,69,2,Player 1
20180425_125131,104,581,16,Player 1
20180425_125131,105,1000,28,
20180425_125131,106,877,33,Player 1
20180425_125131,107,419,12,Player 1
20180425_125131,108,1000,32,
20180425_125131,109,1000,26,
20180425_125131,110,101,3,Player 1
20180425_125131,111,37,1,Player 1
20180425_125131,112,31,1,Player 1
20180425_125131,113,1000,23,
20180425_125131,114,329,12,Player 1
20180425_125131,115,1000,20,
20180425_125131,116,1000,29,
20180425_125131,117,1000,26,
20180425_125131,118,231,7,Player 1
20180425_125131,119,71,2,Player 1
20180425_125131,120,89,3,Player 1
20180425_125131,121,67,3,Player 1
20180425_125131,122,1000,31,
20180425_125131,123,567,14,Player 1
20180425_125131,124,185,6,Player 1
20180425_125131,125,485,18,Player 1
20180425_125131,126,1000,30,
20180425_125131,127,533,17,Player 1
20180425_125131,128,253,6,Player 1
20180425_125131,129,95,3,Player 1
20180425_125131,130,395,9,Player 1
20180425_125131,131,325,9,Player 1
20180425_125131,132,127,4,Player 1
20180425_125131,133,787,23,Player 1
20180425_125131,134,445,15,Player 1
20180425_125131,135,1000,25,
20180425_125131,136,405,11,Player 1
20180425_125131,137,1000,30,
20180425_125131,138,1000,27,
20180425_125131,139,79,2,Player 1
20180425_125131,140,25,1,Player 1
20180425_125131,141,11,0,Player 1
20180425_125131,142,3,0,Player 1
20180425_125131,143,5,0,Player 1
20180425_125131,144,59,2,Player 1
20180425_125131,145,1,0,Player 1
20180425_125131,146,1,0,Player 1
20180425_125131,147,1,0,Player 1
20180425_125131,148,39,1,Player 1
20180425_125131,149,1000,35,
20180425_125131,150,681,23,Player 1
20180425_125131,151,1000,33,
20180425_125131,152,1000,23,
20180425_125131,153,999,25,Player 1
20180425_125131,154,1000,29,
20180425_125131,155,85,2,Player 1
20180425_125131,156,1000,33,
20180425_125131,157,239,8,Player 1
20180425_125131,158,1000,30,
20180425_125131,159,1000,27,
20180425_125131,160,1000,31,
20180425_125131,161,159,4,Player 1
20180425_125131,162,33,1,Player 1
20180425_125131,163,15,0,Player 1
20180425_125131,164,1000,35,
20180425_125131,165,401,11,Player 1
20180425_125131,166,1000,23,
20180425_125131,167,1000,22,
20180425_125131,168,1000,32,
20180425_125131,169,1000,27,
20180425_125131,170,1000,27,
20180425_125131,171,1000,37,
20180425_125131,172,1000,32,
20180425_125131,173,77,2,Player 1
20180425_125131,174,727,20,Player 1
20180425_125131,175,1000,24,
20180425_125131,176,1000,28,
