Session,Game,Turns,Elapsed,Winners
20180425_132009,0,1000,533,
20180425_132009,1,292,713,Player 2
20180425_132009,2,1000,709,
20180425_132009,3,282,726,Player 1
20180425_132009,4,189,490,Player 1
20180425_132009,5,152,424,Player 2
20180425_132009,6,1000,532,
20180425_132009,7,136,378,Player 2
20180425_132009,8,1000,35,
20180425_132009,9,1000,677,
20180425_132009,10,67,176,Player 1
20180425_132009,11,322,778,Player 2
20180425_132009,12,210,586,Player 2
20180425_132009,13,816,758,Player 2
20180425_132009,14,70,205,Player 1
20180425_132009,15,168,535,Player 2
20180425_132009,16,1000,904,
20180425_132009,17,134,358,Player 1
20180425_132009,18,1000,925,
20180425_132009,19,322,823,Player 1
20180425_132009,20,57,157,Player 1
20180425_132009,21,318,777,Player 2
20180425_132009,22,506,95,Player 2
20180425_132009,23,26,70,Player 1
20180425_132009,24,764,494,Player 2
20180425_132009,25,57,152,Player 1
20180425_132009,26,9,24,Player 1
20180425_132009,27,1000,360,
20180425_132009,28,306,716,Player 1
20180425_132009,29,82,237,Player 2
20180425_132009,30,70,187,Player 1
20180425_132009,31,124,314,Player 2
20180425_132009,32,1000,917,
20180425_132009,33,200,509,Player 1
20180425_132009,34,908,526,Player 2
20180425_132009,35,108,347,Player 1
20180425_132009,36,1000,662,
20180425_132009,37,896,844,Player 2
20180425_132009,38,48,148,Player 1
20180425_132009,39,1000,514,
20180425_132009,40,106,269,Player 1
20180425_132009,41,309,726,Player 1
20180425_132009,42,1000,922,
20180425_132009,43,392,886,
20180425_132009,44,1000,564,
20180425_132009,45,210,468,Player 2
20180425_132009,46,10,27,Player 1
20180425_132009,47,192,484,Player 1
20180425_132009,48,940,305,Player 1
20180425_132009,49,1000,857,
20180425_132009,50,11,26,Player 1
20180425_132009,51,166,446,Player 2
20180425_132009,52,95,250,Player 1
20180425_132009,53,1000,209,
20180425_132009,54,454,218,Player 2
20180425_132009,55,830,492,Player 1
20180425_132009,56,68,187,Player 1
20180425_132009,57,1000,47,
20180425_132009,58,4,11,Player 1
20180425_132009,59,8,19,Player 1
20180425_132009,60,588,205,Player 1
20180425_132009,61,1000,486,
20180425_132009,62,39,89,Player 1
20180425_132009,63,258,592,Player 1
20180425_132009,64,438,59,Player 2
20180425_132009,65,122,343,Player 2
20180425_132009,66,1000,693,
20180425_132009,67,301,660,Player 1
20180425_132009,68,268,680,Player 2
20180425_132009,69,163,413,Player 1
20180425_132009,70,509,205,Player 1
20180425_132009,71,42,121,Player 2
20180425_132009,72,112,301,Player 2
20180425_132009,73,6,15,Player 1
20180425_132009,74,446,17,Player 2
20180425_132009,75,410,889,Player 2
20180425_132009,76,59,158,Player 1
20180425_132009,77,10,28,Player 2
20180425_132009,78,90,243,Player 1
20180425_132009,79,278,636,Player 1
20180425_132009,80,787,658,Player 1
20180425_132009,81,362,863,Player 2
20180425_132009,82,538,138,Player 1
20180425_132009,83,98,267,Player 1
20180425_132009,84,738,583,Player 1
20180425_132009,85,312,733,Player 1
20180425_132009,86,141,394,Player 1
20180425_132009,87,1000,182,
20180425_132009,88,10,33,Player 1
20180425_132009,89,960,753,Player 2
20180425_132009,90,1000,863,
20180425_132009,91,1000,925,
20180425_132009,92,798,391,Player 2
20180425_132009,93,1000,705,
20180425_132009,94,692,261,Player 1
20180425_132009,95,326,829,Player 2
20180425_132009,96,404,980,Player 2
20180425_132009,97,230,606,Player 2
20180425_132009,98,336,721,Player 2
20180425_132009,99,35,94,Player 1
20180425_132009,100,1000,837,
20180425_132009,101,333,644,Player 1
20180425_132009,102,1000,15,
20180425_132009,103,172,397,Player 1
20180425_132009,104,1000,996,
20180425_132009,105,52,152,Player 1
20180425_132009,106,28,74,Player 2
20180425_132009,107,810,291,Player 2
20180425_132009,108,788,571,Player 2
20180425_132009,109,354,877,Player 2
20180425_132009,110,1000,734,
20180425_132009,111,856,410,
20180425_132009,112,316,732,Player 2
20180425_132009,113,28,78,Player 2
20180425_132009,114,122,344,Player 1
20180425_132009,115,1000,5,
20180425_132009,116,732,510,Player 1
20180425_132009,117,1000,464,
20180425_132009,118,110,320,Player 1
20180425_132009,119,1000,767,
20180425_132009,120,1000,551,
20180425_132009,121,861,910,Player 1
20180425_132009,122,418,154,Player 2
20180425_132009,123,219,492,Player 1
20180425_132009,124,118,307,Player 1
20180425_132009,125,860,795,Player 1
20180425_132009,126,194,514,Player 1
20180425_132009,127,134,366,Player 2
20180425_132009,128,18,52,Player 2
20180425_132009,129,134,346,Player 2
20180425_132009,130,150,407,Player 1
20180425_132009,131,454,982,Player 1
20180425_132009,132,824,541,Player 1
20180425_132009,133,73,204,Player 1
20180425_132009,134,810,461,Player 2
20180425_132009,135,73,179,Player 1
20180425_132009,136,266,655,Player 1
20180425_132009,137,487,209,Player 1
20180425_132009,138,128,343,Player 1
20180425_132009,139,391,913,Player 1
20180425_132009,140,1000,915,
20180425_132009,141,785,649,Player 1
20180425_132009,142,765,793,Player 1
20180425_132009,143,429,18,Player 1
20180425_132009,144,47,127,Player 1
20180425_132009,145,432,902,Player 2
20180425_132009,146,249,688,Player 1
20180425_132009,147,184,482,Player 2
20180425_132009,148,111,312,Player 1
20180425_132009,149,1000,980,
20180425_132009,150,264,644,Player 2
20180425_132009,151,240,551,
20180425_132009,152,1000,914,
20180425_132009,153,164,422,Player 2
20180425_132009,154,68,177,
20180425_132009,155,1000,73,
20180425_132009,156,891,555,Player 1
20180425_132009,157,414,922,Player 2
20180425_132009,158,665,531,Player 1
20180425_132009,159,10,25,Player 1
20180425_132009,160,1000,707,
20180425_132009,161,208,514,Player 1
20180425_132009,162,74,201,Player 2
20180425_132009,163,118,300,Player 2
20180425_132009,164,489,210,Player 1
20180425_132009,165,85,219,Player 1
20180425_132009,166,212,522,Player 2
20180425_132009,167,509,38,Player 1
20180425_132009,168,6,23,Player 2
20180425_132009,169,72,195,Player 2
20180425_132009,170,1000,994,
20180425_132009,171,324,892,Player 2
20180425_132009,172,482,209,Player 1
20180425_132009,173,148,436,Player 1
20180425_132009,174,61,166,Player 1
20180425_132009,175,270,750,Player 2
20180425_132009,176,514,9,Player 2
20180425_132009,177,1000,581,
20180425_132009,178,147,368,Player 1
20180425_132009,179,172,430,Player 2
20180425_132009,180,320,770,Player 2
20180425_132009,181,784,523,Player 2
20180425_132009,182,1000,977,
20180425_132009,183,1000,920,
20180425_132009,184,398,999,Player 2
20180425_132009,185,146,378,Player 1
20180425_132009,186,1000,341,
20180425_132009,187,82,222,Player 2
20180425_132009,188,174,445,Player 2
20180425_132009,189,67,192,Player 1
20180425_132009,190,329,835,Player 1
20180425_132009,191,39,112,Player 1
20180425_132009,192,9,23,Player 1
20180425_132009,193,40,116,Player 2
20180425_132009,194,1000,617,
20180425_132009,195,745,679,Player 1
20180425_132009,196,552,167,Player 2
20180425_132009,197,1000,943,
20180425_132009,198,101,235,Player 1
20180425_132009,199,356,851,Player 2
20180425_132009,200,752,636,Player 1
20180425_132009,201,1000,395,
20180425_132009,202,1000,622,
20180425_132009,203,736,536,Player 2
20180425_132009,204,51,131,Player 1
20180425_132009,205,944,987,Player 2
20180425_132009,206,1000,76,
20180425_132009,207,1000,673,
20180425_132009,208,25,68,Player 1
20180425_132009,209,3,5,Player 1
20180425_132009,210,292,788,Player 2
20180425_132009,211,136,341,Player 1
20180425_132009,212,384,854,Player 2
20180425_132009,213,1000,907,
20180425_132009,214,390,872,Player 2
20180425_132009,215,1000,599,
20180425_132009,216,452,886,Player 1
20180425_132009,217,138,382,Player 1
20180425_132009,218,247,617,Player 1
20180425_132009,219,292,728,Player 1
20180425_132009,220,1000,182,
20180425_132009,221,1000,33,
20180425_132009,222,535,120,Player 1
20180425_132009,223,1000,725,
20180425_132009,224,282,679,Player 1
20180425_132009,225,134,362,Player 2
20180425_132009,226,1000,623,
20180425_132009,227,505,75,Player 1
20180425_132009,228,216,513,Player 1
20180425_132009,229,1000,39,
20180425_132009,230,1000,778,
20180425_132009,231,235,563,Player 1
20180425_132009,232,409,918,Player 1
20180425_132009,233,299,710,Player 1
20180425_132009,234,142,348,Player 1
20180425_132009,235,1000,803,
20180425_132009,236,386,827,
20180425_132009,237,234,562,Player 2
20180425_132009,238,504,236,Player 2
20180425_132009,239,1000,727,
20180425_132009,240,594,97,Player 2
