Session,Game,Turns,Elapsed,Winners
20180424_201128,0,926,74,Player 2
20180424_201128,1,1666,86,Player 1
20180424_201128,4,23,4,Player 1
20180424_201128,5000,1245,114,Player 2
20180424_201128,5001,336,26,Player 2
20180424_201128,2,882,73,Player 2
20180424_201128,5002,140,20,Player 2
20180424_201128,7500,1098,182,Player 1
20180424_201128,5,1963,94,Player 2
20180424_201128,6,155,18,Player 1
20180424_201128,5003,1015,72,Player 1
20180424_201128,3,682,107,Player 2
20180424_201128,7,1653,84,Player 2
20180424_201128,10,434,46,Player 2
20180424_201128,5004,867,67,Player 1
20180424_201128,11,485,36,Player 1
20180424_201128,5005,541,42,Player 1
20180424_201128,5006,23,2,Player 1
20180424_201128,8,1868,76,Player 1
20180424_201128,12,305,29,Player 1
20180424_201128,5007,659,53,Player 1
20180424_201128,9,2000,86,
20180424_201128,13,1679,100,Player 2
20180424_201128,5008,1711,92,Player 2
20180424_201128,14,698,53,Player 2
20180424_201128,22,905,63,Player 2
20180424_201128,7501,618,359,Player 2
20180424_201128,7502,45,4,Player 1
20180424_201128,5009,1286,54,Player 2
20180424_201128,7503,59,7,Player 1
20180424_201128,5010,59,7,Player 1
20180424_201128,5011,560,56,Player 2
20180424_201128,23,2000,82,
20180424_201128,7504,1104,80,Player 2
20180424_201128,7505,177,20,Player 1
20180424_201128,5012,493,46,Player 1
20180424_201128,24,365,45,Player 1
20180424_201128,5013,57,5,Player 1
20180424_201128,7506,27,10,Player 1
20180424_201128,2500,1560,688,Player 1
20180424_201128,2501,13,2,Player 1
20180424_201128,5014,1949,74,Player 2
20180424_201128,7507,1409,77,Player 2
20180424_201128,15,592,311,Player 2
20180424_201128,5015,1610,93,Player 2
20180424_201128,16,419,48,Player 1
20180424_201128,7508,2000,122,
20180424_201128,7509,420,37,Player 2
20180424_201128,17,666,47,Player 2
20180424_201128,5016,1360,89,Player 1
20180424_201128,7510,973,51,Player 1
20180424_201128,18,1181,63,Player 1
20180424_201128,7511,850,60,Player 1
20180424_201128,2502,879,341,Player 1
20180424_201128,19,1320,98,Player 2
20180424_201128,7512,2000,90,
20180424_201128,7513,87,9,Player 1
20180424_201128,2503,2000,95,
20180424_201128,7514,370,27,Player 2
20180424_201128,2504,536,33,Player 2
20180424_201128,7515,1014,79,Player 1
20180424_201128,7516,116,11,Player 2
20180424_201128,5017,1652,339,Player 1
20180424_201128,2505,802,138,Player 2
20180424_201128,25,2000,639,
20180424_201128,2506,4,0,Player 2
20180424_201128,5018,929,65,Player 2
20180424_201128,5019,96,12,Player 2
20180424_201128,7517,1254,130,Player 2
20180424_201128,26,854,94,Player 2
20180424_201128,27,17,3,Player 1
20180424_201128,28,13,1,Player 1
20180424_201128,29,5,0,Player 1
20180424_201128,30,13,1,Player 1
20180424_201128,31,1,0,Player 1
20180424_201128,32,3,1,Player 1
20180424_201128,33,25,2,Player 1
20180424_201128,7518,469,50,Player 1
20180424_201128,5020,937,83,Player 1
20180424_201128,34,94,12,Player 2
20180424_201128,5021,264,36,Player 2
20180424_201128,35,496,58,Player 2
20180424_201128,2507,1387,301,Player 2
20180424_201128,20,477,532,Player 1
20180424_201128,5022,2000,203,
20180424_201128,5023,760,53,Player 1
20180424_201128,5024,142,36,Player 2
20180424_201128,5025,97,9,Player 1
20180424_201128,21,2000,161,
20180424_201128,2508,1891,201,Player 2
20180424_201128,2509,10,0,Player 2
20180424_201128,46,92,40,Player 2
20180424_201128,5026,114,47,Player 2
20180424_201128,2510,204,25,Player 2
20180424_201128,2511,45,7,Player 1
20180424_201128,2512,29,2,Player 1
20180424_201128,47,486,46,Player 2
