Session,Game,Turns,Elapsed,Winners
20180425_152223,0,21,1.1641,Player 1
20180425_152223,1,21,1.1934,Player 1
20180425_152223,2,21,2.4346,Player 1
20180425_152223,3,2000,64.3261,
20180425_152223,4,2000,14.8145,
20180425_152223,5,2000,46.7079,
20180425_152223,6,2000,51.024,
20180425_152223,7,2000,92.2271,
20180425_152223,8,2000,68.7195,
20180425_152223,9,2000,94.6424,
20180425_152223,10,2000,18.2374,
20180425_152223,11,2000,11.7372,
20180425_152223,12,2000,65.5652,
20180425_152223,13,2000,49.4255,
20180425_152223,14,5,0.0371,Player 1
20180425_152223,15,5,0.0365,Player 1
20180425_152223,16,5,0.0362,Player 1
20180425_152223,17,5,0.0362,Player 1
20180425_152223,18,2000,114.8808,
20180425_152223,19,2000,78.22,
20180425_152223,20,2000,43.6113,
20180425_152223,21,2000,99.0384,
20180425_152223,22,2000,88.3717,
20180425_152223,23,2000,101.5099,
20180425_152223,24,5,0.0318,Player 1
20180425_152223,25,5,0.0357,Player 1
20180425_152223,26,2000,66.6115,
20180425_152223,27,2000,107.634,
20180425_152223,28,2000,101.2667,
20180425_152223,29,2000,44.2868,
20180425_152223,30,2000,16.2207,
20180425_152223,31,2000,93.6986,
20180425_152223,32,2000,65.0742,
20180425_152223,33,2000,33.6926,
20180425_152223,34,2000,10.8107,
20180425_152223,35,2000,31.2946,
20180425_152223,36,2000,8.2242,
20180425_152223,37,2000,41.5528,
20180425_152223,38,2000,39.4846,
20180425_152223,39,2000,65.1415,
20180425_152223,40,2000,24.3361,
20180425_152223,41,2000,37.9309,
20180425_152223,42,5,0.1237,Player 1
20180425_152223,43,5,0.1237,Player 1
20180425_152223,44,2000,32.6197,
20180425_152223,45,2000,18.1081,
20180425_152223,46,2000,54.223,
20180425_152223,47,2000,33.3935,
20180425_152223,48,2000,84.4978,
20180425_152223,49,2000,34.7804,
20180425_152223,50,2000,63.6009,
20180425_152223,51,2000,66.5251,
20180425_152223,52,2000,32.7298,
20180425_152223,53,2000,41.3865,
20180425_152223,54,2000,66.2105,
20180425_152223,55,2000,69.8155,
20180425_152223,56,2000,17.197,
20180425_152223,57,2000,123.2522,
20180425_152223,58,2000,46.501,
20180425_152223,59,2000,49.6956,
20180425_152223,60,2000,46.7463,
20180425_152223,61,2000,35.0292,
20180425_152223,62,2000,63.7107,
20180425_152223,63,2000,20.2813,
20180425_152223,64,2000,133.7445,
20180425_152223,65,2000,17.5734,
20180425_152223,66,2000,25.6788,
20180425_152223,67,2000,62.9539,
20180425_152223,68,2000,55.2239,
