Session,Game,Turns,Elapsed,Winners
20180425_152236,0,2000,4690.5035,
20180425_152236,1,1714,3951.4919,Player 2
20180425_152236,2,2000,3988.8837,
20180425_152236,3,5,11.5289,Player 1
20180425_152236,4,76,247.4515,Player 2
20180425_152236,5,2000,4319.8971,
20180425_152236,6,35,114.3341,Player 1
20180425_152236,7,2000,4738.1863,
20180425_152236,8,868,2064.3086,Player 2
20180425_152236,9,334,890.2722,Player 2
20180425_152236,10,980,2492.9215,Player 2
20180425_152236,11,2000,4197.2425,
20180425_152236,12,2000,4390.3966,
20180425_152236,13,68,176.5523,Player 2
20180425_152236,14,2000,4384.8414,
20180425_152236,15,2000,4197.8893,
20180425_152236,16,2000,3950.0426,
20180425_152236,17,2000,5401.5436,
20180425_152236,18,32,158.1222,Player 2
20180425_152236,19,2000,4184.5988,
20180425_152236,20,1106,2442.4652,Player 2
20180425_152236,21,172,497.9715,Player 2
20180425_152236,22,2000,3966.6438,
20180425_152236,23,2000,4051.7688,
20180425_152236,24,2000,4602.5002,
20180425_152236,25,42,103.4001,Player 1
20180425_152236,26,2000,4779.7839,
20180425_152236,27,1202,3062.5084,Player 2
20180425_152236,28,26,62.5918,Player 1
20180425_152236,29,488,1079.8709,Player 2
20180425_152236,30,2000,4148.3036,
20180425_152236,31,2000,4524.6045,
20180425_152236,32,2000,4301.4548,
20180425_152236,33,294,745.2302,Player 2
20180425_152236,34,2000,4079.664,
20180425_152236,35,2000,4122.6283,
20180425_152236,36,800,1937.4318,
20180425_152236,37,2000,4377.2622,
20180425_152236,38,2000,3815.852,
20180425_152236,39,60,173.7176,Player 1
20180425_152236,40,2000,4624.0842,
20180425_152236,41,124,364.57,Player 1
20180425_152236,42,2000,3796.045,
20180425_152236,43,798,1824.6341,Player 2
20180425_152236,44,2000,4589.8911,
20180425_152236,45,318,740.0265,Player 2
20180425_152236,46,2000,4654.7195,
20180425_152236,47,700,1489.1316,Player 2
20180425_152236,48,2000,3869.2978,
20180425_152236,49,22,62.684,Player 2
20180425_152236,50,48,157.0338,Player 1
20180425_152236,51,2000,4357.0162,
20180425_152236,52,2000,4062.5801,
20180425_152236,53,266,737.1087,Player 2
20180425_152236,54,64,156.86,Player 2
20180425_152236,55,120,281.203,Player 1
20180425_152236,56,28,64.4754,Player 1
20180425_152236,57,14,23.4786,Player 1
20180425_152236,58,732,1692.8559,Player 2
20180425_152236,59,2000,4021.7197,
20180425_152236,60,2000,4747.1615,
20180425_152236,61,2000,4309.8857,
20180425_152236,62,404,961.1996,Player 2
20180425_152236,63,2000,5224.1985,
20180425_152236,64,2000,4096.6494,
20180425_152236,65,58,175.8197,Player 1
20180425_152236,66,2000,4443.2793,
20180425_152236,67,1456,3172.3942,Player 2
20180425_152236,68,2000,3796.4963,
20180425_152236,69,2000,4167.7585,
20180425_152236,70,2000,5095.1625,
20180425_152236,71,2000,4950.229,
20180425_152236,72,2000,4180.7946,
20180425_152236,73,2000,4986.2714,
20180425_152236,74,26,74.6186,Player 2
20180425_152236,75,2000,4468.0726,
20180425_152236,76,2000,3831.8519,
20180425_152236,77,30,85.5007,Player 2
20180425_152236,78,24,71.6695,Player 2
20180425_152236,79,10,16.7914,Player 1
20180425_152236,80,2000,4704.1568,
20180425_152236,81,218,522.8389,Player 1
20180425_152236,82,232,584.4471,Player 2
20180425_152236,83,78,205.9531,Player 2
20180425_152236,84,96,254.5411,Player 2
20180425_152236,85,2000,4380.1311,
20180425_152236,86,1530,3217.7978,Player 1
20180425_152236,87,22,46.9792,Player 1
20180425_152236,88,40,97.9623,Player 1
20180425_152236,89,2000,4226.9673,
20180425_152236,90,94,250.0804,Player 1
20180425_152236,91,2000,4292.5024,
20180425_152236,92,292,744.237,Player 2
20180425_152236,93,2000,4150.1064,
20180425_152236,94,2000,4666.405,
20180425_152236,95,25,55.202,Player 1
20180425_152236,96,2000,4158.3271,
20180425_152236,97,82,250.8097,Player 2
20180425_152236,98,1770,4086.2856,Player 1
20180425_152236,99,124,369.0432,Player 1
20180425_152236,100,2000,4239.2823,
20180425_152236,101,406,1031.3546,Player 2
20180425_152236,102,26,75.7508,Player 2
20180425_152236,103,2000,4187.7241,
20180425_152236,104,2000,4614.1643,
20180425_152236,105,2000,4534.4933,
20180425_152236,106,31,83.0266,Player 1
20180425_152236,107,379,744.5103,Player 1
20180425_152236,108,1840,4350.3235,Player 2
20180425_152236,109,2000,4002.3977,
20180425_152236,110,2000,4000.3441,
20180425_152236,111,2000,4311.1669,
20180425_152236,112,2000,4562.8535,
20180425_152236,113,5,11.2523,Player 1
20180425_152236,114,42,138.3363,Player 2
20180425_152236,115,88,244.4512,Player 1
20180425_152236,116,2000,4800.6904,
20180425_152236,117,268,617.9469,Player 2
20180425_152236,118,192,485.6367,Player 2
20180425_152236,119,100,279.9288,Player 2
20180425_152236,120,44,113.0912,Player 2
20180425_152236,121,28,62.6278,Player 1
20180425_152236,122,88,242.505,Player 2
20180425_152236,123,54,120.93,Player 2
20180425_152236,124,18,44.4559,Player 2
20180425_152236,125,372,880.9956,Player 2
20180425_152236,126,2000,3751.6011,
20180425_152236,127,2000,4013.9178,
20180425_152236,128,1622,4066.9875,Player 2
20180425_152236,129,492,1280.3619,Player 2
20180425_152236,130,2000,3518.2977,
20180425_152236,131,2000,5200.6186,
20180425_152236,132,2000,5201.2103,
20180425_152236,133,46,237.9887,Player 1
20180425_152236,134,7,17.0557,Player 1
20180425_152236,135,2000,4802.5265,
20180425_152236,136,5,14.6427,Player 1
20180425_152236,137,18,55.3673,Player 1
20180425_152236,138,2000,4436.4742,
20180425_152236,139,3,1.4059,Player 1
20180425_152236,140,5,9.9482,Player 1
20180425_152236,141,86,291.702,Player 2
20180425_152236,142,2000,5847.7727,
20180425_152236,143,56,159.551,Player 1
20180425_152236,144,104,265.6869,Player 1
20180425_152236,145,2000,4448.9984,
20180425_152236,146,2000,4471.7615,
20180425_152236,147,628,1380.8964,Player 2
20180425_152236,148,2000,4293.9807,
20180425_152236,149,5,11.3922,Player 1
20180425_152236,150,5,11.3249,Player 1
20180425_152236,151,2000,4390.4057,
20180425_152236,152,34,93.7706,Player 1
20180425_152236,153,1014,2523.4748,Player 2
20180425_152236,154,2000,4139.6114,
20180425_152236,155,52,148.3373,Player 2
20180425_152236,156,62,181.0226,Player 1
20180425_152236,157,152,340.6962,Player 1
20180425_152236,158,41,105.7777,Player 1
20180425_152236,159,634,1459.8302,Player 2
20180425_152236,160,1352,3331.0011,Player 2
20180425_152236,161,10,22.768,Player 1
20180425_152236,162,2000,4226.6995,
20180425_152236,163,2000,3713.5341,
20180425_152236,164,16,33.8822,Player 1
20180425_152236,165,2000,4059.4007,
20180425_152236,166,3,1.3506,Player 1
20180425_152236,167,3,1.1773,Player 1
20180425_152236,168,3,2.2803,Player 1
20180425_152236,169,394,874.2865,Player 1
20180425_152236,170,2000,3921.3611,
20180425_152236,171,48,140.5145,Player 2
20180425_152236,172,2000,3659.3013,
20180425_152236,173,2000,4512.6638,
20180425_152236,174,2000,3942.0139,
20180425_152236,175,62,167.0763,Player 1
20180425_152236,176,2000,4022.2494,
20180425_152236,177,2000,3671.9128,
20180425_152236,178,2000,4146.9439,
20180425_152236,179,2000,3497.5457,
20180425_152236,180,2000,4035.9036,
20180425_152236,181,2000,4128.3263,
20180425_152236,182,2000,4313.4672,
20180425_152236,183,2000,4000.4009,
20180425_152236,184,6,17.2114,Player 2
20180425_152236,185,2000,4217.2845,
20180425_152236,186,2000,4123.052,
20180425_152236,187,2000,4987.8246,
20180425_152236,188,2000,5257.7624,
20180425_152236,189,2000,4188.4285,
20180425_152236,190,2000,5085.2382,
20180425_152236,191,2000,5025.7239,
20180425_152236,192,26,73.0622,Player 1
20180425_152236,193,18,67.6138,Player 1
20180425_152236,194,2000,6294.8528,
20180425_152236,195,2000,7052.0553,
20180425_152236,196,888,3833.1243,Player 2
20180425_152236,197,400,1677.7129,Player 1
20180425_152236,198,2000,8029.2255,
20180425_152236,199,5,11.708,Player 1
20180425_152236,200,2000,5749.0035,
20180425_152236,201,2000,8304.3489,
20180425_152236,202,32,174.2139,Player 1
20180425_152236,203,236,895.2187,Player 2
20180425_152236,204,2000,7390.1473,
20180425_152236,205,5,26.55,Player 1
20180425_152236,206,202,637.2769,Player 1
20180425_152236,207,17,39.0555,Player 1
20180425_152236,208,36,101.9334,Player 2
20180425_152236,209,2000,5404.2515,
20180425_152236,210,98,369.7064,Player 2
20180425_152236,211,2000,5424.235,
20180425_152236,212,2000,5949.2639,
20180425_152236,213,380,829.3769,Player 2
20180425_152236,214,1400,3155.3086,Player 2
20180425_152236,215,48,115.9165,Player 2
20180425_152236,216,2000,4152.7891,
20180425_152236,217,2000,4172.3722,
20180425_152236,218,2000,4351.5081,
20180425_152236,219,2000,4270.2521,
20180425_152236,220,1134,2220.8045,Player 2
20180425_152236,221,1012,2152.5661,Player 2
20180425_152236,222,94,255.9745,Player 2
20180425_152236,223,122,289.0438,Player 2
20180425_152236,224,2000,4148.1573,
20180425_152236,225,100,232.6703,Player 2
20180425_152236,226,100,250.1261,Player 2
20180425_152236,227,102,263.8007,Player 2
20180425_152236,228,2000,3400.2448,
20180425_152236,229,2000,4190.4145,
20180425_152236,230,21,60.9477,Player 1
20180425_152236,231,2000,4588.3345,
20180425_152236,232,270,675.892,Player 2
20180425_152236,233,16,30.9592,Player 1
20180425_152236,234,2000,4170.6067,
20180425_152236,235,72,215.7305,Player 2
20180425_152236,236,526,1159.2487,Player 2
20180425_152236,237,2000,3601.3,
20180425_152236,238,2000,3766.4031,
20180425_152236,239,28,74.5589,Player 2
20180425_152236,240,102,288.7231,Player 2
20180425_152236,241,82,205.5326,Player 2
20180425_152236,242,54,131.2186,Player 1
20180425_152236,243,44,91.8554,Player 1
20180425_152236,244,96,247.3303,Player 2
20180425_152236,245,2000,4075.6057,
20180425_152236,246,36,99.9462,Player 2
20180425_152236,247,484,1026.253,Player 2
20180425_152236,248,6,15.7399,Player 2
20180425_152236,249,2000,4301.348,
