Session,Game,Turns,Elapsed,Winners
20180425_152210,0,1292,54.4346,Player 2
20180425_152210,1,2000,54.912,
20180425_152210,2,2000,108.9056,
20180425_152210,3,404,20.7592,Player 2
20180425_152210,4,5,0.2546,Player 1
20180425_152210,5,5,0.2648,Player 1
20180425_152210,6,5,0.309,Player 1
20180425_152210,7,278,16.1511,Player 2
20180425_152210,8,734,27.9841,Player 2
20180425_152210,9,2000,49.4258,
20180425_152210,10,142,8.5798,Player 2
20180425_152210,11,1336,36.4509,Player 2
20180425_152210,12,2000,98.3038,
20180425_152210,13,1439,62.2884,Player 1
20180425_152210,14,198,8.0585,Player 2
20180425_152210,15,442,24.4944,Player 2
20180425_152210,16,1450,47.7158,Player 2
20180425_152210,17,1778,73.5463,Player 1
20180425_152210,18,1490,48.7047,Player 2
20180425_152210,19,1298,47.7448,Player 2
20180425_152210,20,34,1.4881,Player 2
20180425_152210,21,756,31.529,Player 2
20180425_152210,22,2000,51.5373,
20180425_152210,23,2000,54.8467,
20180425_152210,24,1306,44.3075,Player 2
20180425_152210,25,1126,33.1693,Player 2
20180425_152210,26,10,0.4547,Player 2
20180425_152210,27,16,0.6976,Player 2
20180425_152210,28,458,20.2035,Player 2
20180425_152210,29,38,1.5861,Player 2
20180425_152210,30,46,2.0951,Player 2
20180425_152210,31,102,5.5218,Player 2
20180425_152210,32,2000,48.7319,
20180425_152210,33,100,6.1027,Player 2
20180425_152210,34,2000,76.3856,
20180425_152210,35,2000,37.201,
20180425_152210,36,2000,52.1902,
20180425_152210,37,386,19.5512,Player 2
20180425_152210,38,2,0.0954,Player 2
20180425_152210,39,34,1.6567,Player 2
20180425_152210,40,408,16.1859,Player 2
20180425_152210,41,495,26.9346,Player 1
20180425_152210,42,396,26.73,Player 2
20180425_152210,43,2000,49.6883,
20180425_152210,44,2000,68.8003,
20180425_152210,45,2000,49.9248,
20180425_152210,46,334,13.9278,Player 2
20180425_152210,47,2000,81.8756,
20180425_152210,48,862,34.4433,Player 2
20180425_152210,49,2000,68.4435,
20180425_152210,50,2000,96.9734,
20180425_152210,51,2000,124.1413,
20180425_152210,52,2000,67.1611,
20180425_152210,53,2000,84.8917,
20180425_152210,54,222,9.2573,Player 2
20180425_152210,55,2000,278.5898,
20180425_152210,56,2000,133.4077,
20180425_152210,57,2000,82.6107,
20180425_152210,58,2000,64.8775,
20180425_152210,59,995,76.3719,Player 1
20180425_152210,60,2000,102.8403,
20180425_152210,61,2000,83.9048,
20180425_152210,62,38,1.4114,Player 2
20180425_152210,63,2000,47.4407,
20180425_152210,64,470,19.9702,Player 2
20180425_152210,65,54,2.6728,Player 2
20180425_152210,66,2000,98.5936,
20180425_152210,67,2000,91.2359,
20180425_152210,68,160,10.1174,Player 2
20180425_152210,69,148,7.52,Player 2
20180425_152210,70,126,6.3503,Player 2
20180425_152210,71,220,13.1581,Player 2
20180425_152210,72,162,7.5792,Player 2
