Session,Game,Turns,Elapsed,Winners
20180425_153954,0,1785,3148.8462,Player 1
20180425_153954,1,5,16.1285,Player 1
20180425_153954,2,55,156.9557,Player 1
20180425_153954,3,2000,2962.5803,
20180425_153954,4,2000,3255.5019,
20180425_153954,5,2000,3180.6366,
20180425_153954,6,2000,2518.4036,
20180425_153954,7,2000,2656.2943,
20180425_153954,8,67,194.4005,Player 1
20180425_153954,9,541,1167.1524,Player 1
20180425_153954,10,1027,2497.1427,Player 1
20180425_153954,11,569,1414.3982,Player 1
20180425_153954,12,1051,1788.7158,Player 1
20180425_153954,13,2000,3020.4642,
20180425_153954,14,135,362.4904,Player 1
20180425_153954,15,2000,2515.1549,
20180425_153954,16,1419,2162.9358,Player 1
20180425_153954,17,2000,2804.0589,
20180425_153954,18,361,1018.7282,Player 1
20180425_153954,19,1193,2047.5016,Player 1
20180425_153954,20,2000,2581.2762,
20180425_153954,21,309,753.3005,Player 1
20180425_153954,22,2000,3146.6835,
20180425_153954,23,1003,2428.2453,Player 1
20180425_153954,24,1945,4139.7001,Player 1
20180425_153954,25,2000,3075.388,
20180425_153954,26,2000,3016.7419,
20180425_153954,27,1433,2815.418,Player 1
20180425_153954,28,2000,2418.5905,
20180425_153954,29,2000,3854.3741,
20180425_153954,30,2000,3140.1057,
20180425_153954,31,307,862.8614,Player 1
20180425_153954,32,1655,2294.7483,Player 1
20180425_153954,33,2000,3637.6828,
20180425_153954,34,371,812.7671,Player 1
20180425_153954,35,2000,3136.6895,
20180425_153954,36,2000,2705.0552,
20180425_153954,37,2000,3051.4346,
20180425_153954,38,2000,3073.9118,
20180425_153954,39,129,322.0713,Player 1
20180425_153954,40,69,186.3273,Player 1
20180425_153954,41,2000,3515.0937,
20180425_153954,42,613,1264.4557,Player 1
20180425_153954,43,2000,3046.1147,
20180425_153954,44,2000,2214.0995,
20180425_153954,45,2000,2835.7032,
20180425_153954,46,629,1510.2391,Player 1
20180425_153954,47,605,1498.6403,Player 1
20180425_153954,48,901,1966.7357,Player 1
20180425_153954,49,529,1124.7088,Player 1
20180425_153954,50,1011,2040.6997,Player 1
20180425_153954,51,2000,3237.7078,
20180425_153954,52,2000,2626.8349,
20180425_153954,53,1807,3148.9155,Player 1
20180425_153954,54,261,675.5054,Player 1
20180425_153954,55,2000,2838.2877,
20180425_153954,56,1551,2430.2075,Player 1
20180425_153954,57,27,77.9774,Player 1
20180425_153954,58,69,186.003,Player 1
20180425_153954,59,2000,2736.3466,
20180425_153954,60,2000,2845.9872,
20180425_153954,61,415,1001.6865,Player 1
20180425_153954,62,2000,2617.006,
20180425_153954,63,2000,3191.4116,
20180425_153954,64,2000,2620.4354,
20180425_153954,65,115,350.4891,Player 1
20180425_153954,66,2000,2636.7387,
20180425_153954,67,2000,3026.7107,
20180425_153954,68,101,275.864,Player 1
20180425_153954,69,81,226.2872,Player 1
20180425_153954,70,2000,2910.2548,
20180425_153954,71,565,1192.5582,Player 1
20180425_153954,72,403,901.5076,Player 1
20180425_153954,73,2000,2089.0017,
20180425_153954,74,1579,2464.983,Player 1
20180425_153954,75,71,207.4951,Player 1
20180425_153954,76,2000,3544.9119,
20180425_153954,77,2000,2970.7337,
20180425_153954,78,113,292.7254,Player 1
20180425_153954,79,2000,3284.7119,
20180425_153954,80,147,433.3717,Player 1
20180425_153954,81,2000,2676.7238,
20180425_153954,82,505,1248.7158,Player 1
20180425_153954,83,927,1700.5954,Player 1
20180425_153954,84,253,651.8374,Player 1
20180425_153954,85,1833,2600.4347,Player 1
20180425_153954,86,65,191.4251,Player 1
20180425_153954,87,1917,2132.1615,Player 1
20180425_153954,88,203,517.3492,Player 1
20180425_153954,89,67,197.8723,Player 1
20180425_153954,90,1837,2793.189,Player 2
20180425_153954,91,223,566.584,Player 1
20180425_153954,92,2000,3208.2317,
20180425_153954,93,2000,2513.0349,
20180425_153954,94,2000,2414.3069,
20180425_153954,95,2000,2895.4593,
20180425_153954,96,2000,2505.2177,
20180425_153954,97,957,1744.7877,Player 1
20180425_153954,98,135,373.968,Player 1
20180425_153954,99,459,911.8612,Player 1
20180425_153954,100,2000,2749.8305,
20180425_153954,101,2000,3134.6667,
20180425_153954,102,2000,2520.7291,
20180425_153954,103,17,49.4972,Player 1
20180425_153954,104,2000,3238.8544,
20180425_153954,105,2000,3234.6519,
20180425_153954,106,2000,2690.4979,
20180425_153954,107,2000,3088.2994,
20180425_153954,108,1379,2495.7477,Player 1
20180425_153954,109,2000,3318.2217,
20180425_153954,110,95,278.4582,Player 1
20180425_153954,111,877,1761.5941,Player 1
20180425_153954,112,275,730.2535,Player 1
20180425_153954,113,2000,2830.724,
20180425_153954,114,1139,2061.4912,Player 1
20180425_153954,115,2000,2416.5759,
20180425_153954,116,319,882.1665,Player 1
20180425_153954,117,1429,2442.404,Player 1
20180425_153954,118,81,223.3869,Player 1
20180425_153954,119,2000,3244.5238,
20180425_153954,120,2000,2548.3336,
20180425_153954,121,919,1912.2346,Player 1
20180425_153954,122,2000,2924.7287,
20180425_153954,123,2000,3687.2682,
20180425_153954,124,2000,3100.677,
20180425_153954,125,2000,3407.2779,
20180425_153954,126,2000,3614.0367,
20180425_153954,127,2000,3467.0117,
20180425_153954,128,1047,2542.7415,Player 1
20180425_153954,129,43,136.2704,Player 1
20180425_153954,130,2000,2411.4216,
20180425_153954,131,2000,3726.4063,
20180425_153954,132,1,5.2136,Player 1
20180425_153954,133,825,1933.9585,Player 1
20180425_153954,134,1995,3085.2885,Player 1
20180425_153954,135,2000,2997.7892,
20180425_153954,136,2000,2613.03,
20180425_153954,137,97,292.4656,Player 1
20180425_153954,138,2000,2675.7305,
20180425_153954,139,2000,3167.7664,
20180425_153954,140,2000,3320.6188,
20180425_153954,141,401,914.3561,Player 1
20180425_153954,142,2000,3423.2022,
20180425_153954,143,2000,3723.9562,
20180425_153954,144,1569,2277.1301,Player 2
20180425_153954,145,685,1555.7481,Player 1
20180425_153954,146,329,863.8951,Player 1
20180425_153954,147,2000,3904.8758,
20180425_153954,148,2000,3890.2591,
20180425_153954,149,453,1095.6266,Player 1
20180425_153954,150,2000,3764.2816,
20180425_153954,151,9,32.4438,Player 1
20180425_153954,152,47,139.566,Player 1
20180425_153954,153,2000,2179.6418,
20180425_153954,154,2000,2940.7552,
