Session,Game,Turns,Elapsed,Winners
20180425_154834,0,664,175524.4613,Player 2
20180425_154834,1,1170,260641.1719,Player 2
20180425_154834,2,44,17262.3773,Player 2
20180425_154834,3,304,104314.7312,Player 2
20180425_154834,4,22,9275.764,Player 2
20180425_154834,5,267,86738.0443,Player 1
20180425_154834,6,456,129264.1745,Player 2
20180425_154834,7,459,159333.4231,Player 1
20180425_154834,8,1312,342336.6435,Player 2
20180425_154834,9,474,145593.4349,Player 2
20180425_154834,10,102,39279.1556,Player 1
20180425_154834,11,1496,475216.8868,Player 2
20180425_154834,12,1809,386383.3211,Player 2
20180425_154834,13,562,210350.3451,Player 2
20180425_154834,14,897,264926.5599,Player 1
20180425_154834,15,221,81425.3155,Player 1
20180425_154834,16,134,51261.6462,Player 2
20180425_154834,17,1197,284469.8815,Player 1
20180425_154834,18,46,18411.9279,Player 1
20180425_154834,19,733,199154.2316,Player 1
20180425_154834,20,944,235467.3843,Player 2
20180425_154834,21,1556,298091.3199,Player 2
20180425_154834,22,115,46217.1092,Player 1
20180425_154834,23,93,38589.355,Player 1
20180425_154834,24,54,23078.6982,Player 1
20180425_154834,25,2000,476010.0586,
20180425_154834,26,1134,303030.3209,Player 1
20180425_154834,27,1236,280520.948,Player 2
20180425_154834,28,725,214447.7567,Player 1
20180425_154834,29,87,33317.0891,Player 1
20180425_154834,30,139,53742.5963,Player 1
20180425_154834,31,716,225734.833,Player 1
20180425_154834,32,1604,377457.6116,Player 2
20180425_154834,33,2,741.9563,Player 1
