Session,Game,Turns,Elapsed,Winners
20180425_153251,0,478,1400.8439,Player 2
20180425_153251,1,208,782.9677,Player 2
20180425_153251,2,925,2373.9426,Player 1
20180425_153251,3,1501,2227.9682,Player 2
20180425_153251,4,842,2061.696,Player 2
20180425_153251,5,1018,2428.9474,Player 2
20180425_153251,6,936,1588.6664,Player 2
20180425_153251,7,67,265.5058,Player 1
20180425_153251,8,1274,2864.8301,Player 1
20180425_153251,9,1457,2403.7988,Player 1
20180425_153251,10,1367,2352.8254,Player 2
20180425_153251,11,73,275.9038,Player 1
20180425_153251,12,370,1301.1405,Player 2
20180425_153251,13,974,1981.2928,Player 2
20180425_153251,14,209,697.6425,Player 1
20180425_153251,15,990,2340.6014,Player 2
20180425_153251,16,827,2139.65,Player 2
20180425_153251,17,163,703.0944,Player 1
20180425_153251,18,200,644.6085,Player 2
20180425_153251,19,307,958.7345,Player 1
20180425_153251,20,1891,3256.7293,Player 2
20180425_153251,21,629,1773.4107,Player 1
20180425_153251,22,732,1853.3694,Player 2
20180425_153251,23,745,1979.1072,Player 1
20180425_153251,24,1561,2053.4519,Player 2
20180425_153251,25,1460,2885.2169,Player 2
20180425_153251,26,761,1673.8364,Player 2
20180425_153251,27,219,735.7113,Player 1
20180425_153251,28,1223,2083.434,Player 1
20180425_153251,29,654,1956.1975,Player 2
20180425_153251,30,222,722.7571,Player 2
20180425_153251,31,675,1915.7948,Player 1
20180425_153251,32,999,2765.1912,Player 1
20180425_153251,33,32,133.9921,Player 2
20180425_153251,34,718,1877.995,Player 2
20180425_153251,35,1078,2939.5146,Player 2
20180425_153251,36,577,1686.1128,Player 1
20180425_153251,37,1065,1634.3272,Player 2
20180425_153251,38,129,485.3917,Player 1
20180425_153251,39,583,1822.2082,Player 1
20180425_153251,40,2,8.6948,Player 2
20180425_153251,41,6,29.3569,Player 2
20180425_153251,42,691,1508.4232,Player 1
20180425_153251,43,1514,2667.4574,Player 1
20180425_153251,44,1959,2215.9119,Player 1
20180425_153251,45,1792,2558.1789,Player 2
20180425_153251,46,224,778.51,Player 2
20180425_153251,47,2000,3713.2303,
20180425_153251,48,662,1892.7891,Player 2
20180425_153251,49,1708,3390.6676,Player 1
20180425_153251,50,2000,2827.09,
20180425_153251,51,102,382.3781,Player 2
20180425_153251,52,85,317.4561,Player 1
20180425_153251,53,488,1514.5933,Player 2
20180425_153251,54,131,464.0632,Player 1
20180425_153251,55,1018,2032.1436,Player 2
20180425_153251,56,99,397.9047,Player 1
20180425_153251,57,319,1016.7466,Player 1
20180425_153251,58,88,363.3786,Player 2
