Session,Game,Turns,Elapsed,Winners
20180425_151500,0,81,4.1372,Player 1
20180425_151500,1,139,5.9751,Player 1
20180425_151500,2,497,25.8073,Player 1
20180425_151500,3,2000,48.1911,
20180425_151500,4,819,51.9181,Player 1
20180425_151500,5,71,3.6877,Player 1
20180425_151500,6,2000,48.6866,
20180425_151500,7,2000,53.9875,
20180425_151500,8,79,6.2171,Player 1
20180425_151500,9,2000,52.5236,
20180425_151500,10,51,2.527,Player 1
20180425_151500,11,2000,87.1091,
20180425_151500,12,2000,82.6005,
20180425_151500,13,2000,66.4965,
20180425_151500,14,809,24.8696,Player 1
20180425_151500,15,785,35.2498,Player 1
20180425_151500,16,31,1.3889,Player 1
20180425_151500,17,95,4.7934,Player 1
20180425_151500,18,2000,113.7851,
20180425_151500,19,2000,63.3765,
20180425_151500,20,175,10.1443,Player 1
20180425_151500,21,103,4.7468,Player 1
20180425_151500,22,1465,57.257,Player 1
20180425_151500,23,2000,63.1277,
20180425_151500,24,1211,45.4843,Player 1
20180425_151500,25,2000,60.8017,
20180425_151500,26,2000,58.8394,
20180425_151500,27,19,1.2809,Player 1
20180425_151500,28,281,19.2544,Player 1
20180425_151500,29,255,13.2819,Player 1
20180425_151500,30,255,15.9843,Player 1
20180425_151500,31,23,1.4539,Player 1
20180425_151500,32,755,49.5075,Player 1
20180425_151500,33,2000,69.6996,
20180425_151500,34,1363,65.4742,Player 1
20180425_151500,35,537,26.6782,Player 1
20180425_151500,36,2000,62.6387,
20180425_151500,37,2000,70.6419,
20180425_151500,38,2000,101.8426,
20180425_151500,39,2000,55.8309,
20180425_151500,40,1043,67.9252,Player 1
20180425_151500,41,1027,36.009,Player 1
20180425_151500,42,2000,66.1801,
20180425_151500,43,2000,88.1285,
20180425_151500,44,435,16.6351,Player 1
20180425_151500,45,2000,67.4069,
20180425_151500,46,583,21.6603,Player 1
20180425_151500,47,2000,66.704,
20180425_151500,48,2000,107.9875,
20180425_151500,49,177,12.2227,Player 1
20180425_151500,50,2000,63.341,
20180425_151500,51,2000,131.3205,
20180425_151500,52,249,14.9243,Player 1
20180425_151500,53,101,5.1495,Player 1
20180425_151500,54,2000,90.2063,
20180425_151500,55,249,10.8195,Player 1
20180425_151500,56,1953,87.9107,Player 1
20180425_151500,57,33,1.5235,Player 1
20180425_151500,58,33,1.6426,Player 1
20180425_151500,59,2000,125.6976,
20180425_151500,60,581,25.2474,Player 1
20180425_151500,61,17,1.2235,Player 1
20180425_151500,62,43,3.0234,Player 1
20180425_151500,63,2000,67.6352,
20180425_151500,64,1109,59.7791,Player 1
20180425_151500,65,2000,50.1247,
20180425_151500,66,425,20.8944,Player 1
20180425_151500,67,2000,49.3383,
20180425_151500,68,2000,78.2627,
20180425_151500,69,269,13.8051,Player 1
20180425_151500,70,2000,95.7826,
20180425_151500,71,2000,55.5034,
20180425_151500,72,2000,73.0815,
20180425_151500,73,2000,64.2556,
20180425_151500,74,2000,62.3138,
20180425_151500,75,2000,111.6273,
20180425_151500,76,2000,61.4332,
20180425_151500,77,2000,66.157,
20180425_151500,78,271,11.317,Player 1
20180425_151500,79,111,7.2824,Player 1
20180425_151500,80,29,2.8431,Player 1
20180425_151500,81,813,41.1814,Player 1
20180425_151500,82,2000,57.3524,
20180425_151500,83,1673,95.5991,Player 1
20180425_151500,84,2000,77.8299,
20180425_151500,85,717,47.508,Player 1
20180425_151500,86,223,11.0504,Player 1
20180425_151500,87,2000,60.9822,
20180425_151500,88,2000,54.5242,
20180425_151500,89,75,3.9754,Player 1
20180425_151500,90,909,34.4231,Player 1
20180425_151500,91,2000,63.181,
20180425_151500,92,21,1.3593,Player 1
20180425_151500,93,117,8.82,Player 1
20180425_151500,94,117,7.2359,Player 1
20180425_151500,95,115,5.4565,Player 1
20180425_151500,96,43,2.5469,Player 1
20180425_151500,97,2000,58.5661,
20180425_151500,98,897,37.0195,Player 1
20180425_151500,99,121,5.4679,Player 1
20180425_151500,100,1093,49.1399,Player 1
20180425_151500,101,691,39.8519,Player 1
20180425_151500,102,2000,85.4316,
20180425_151500,103,2000,54.4182,
