Session,Game,Turns,Elapsed,Winners
20180425_151513,0,254,1070.2673,Player 2
20180425_151513,1,2000,5520.2594,
20180425_151513,2,302,1400.1099,Player 2
20180425_151513,3,70,359.44,Player 2
20180425_151513,4,6,27.8336,Player 2
20180425_151513,5,22,104.8031,Player 1
20180425_151513,6,398,1893.4077,Player 1
20180425_151513,7,1156,3520.0958,Player 2
20180425_151513,8,412,1828.2613,Player 2
20180425_151513,9,900,3156.1152,Player 2
20180425_151513,10,30,146.5122,Player 1
20180425_151513,11,96,429.3872,Player 2
20180425_151513,12,570,2284.7116,Player 2
20180425_151513,13,320,1534.1105,Player 2
20180425_151513,14,21,110.3777,Player 1
20180425_151513,15,290,1290.5528,Player 2
20180425_151513,16,87,427.8168,Player 1
20180425_151513,17,40,210.9125,Player 2
20180425_151513,18,667,2858.1807,Player 1
20180425_151513,19,966,2792.652,Player 2
20180425_151513,20,140,659.9785,Player 1
20180425_151513,21,434,1678.3547,Player 1
20180425_151513,22,269,1080.3655,Player 1
20180425_151513,23,44,207.2838,Player 1
20180425_151513,24,1420,3539.7573,Player 1
20180425_151513,25,914,2919.832,Player 2
20180425_151513,26,1342,3506.444,Player 2
20180425_151513,27,1318,2911.6239,Player 1
20180425_151513,28,320,1205.7889,Player 2
20180425_151513,29,1070,3393.4824,Player 2
20180425_151513,30,68,290.5097,Player 1
20180425_151513,31,89,405.6361,Player 1
20180425_151513,32,18,63.7429,Player 1
20180425_151513,33,133,535.692,Player 1
20180425_151513,34,204,897.339,Player 2
20180425_151513,35,3,9.2128,Player 1
20180425_151513,36,96,440.7458,Player 2
20180425_151513,37,65,332.1767,Player 1
20180425_151513,38,1784,5006.9008,Player 2
20180425_151513,39,2000,4163.2534,
20180425_151513,40,170,711.3277,Player 2
20180425_151513,41,398,1383.1194,Player 2
20180425_151513,42,1156,2372.7971,Player 1
20180425_151513,43,164,650.0121,Player 2
20180425_151513,44,788,2087.964,Player 2
20180425_151513,45,263,1007.5733,Player 1
20180425_151513,46,23,95.0179,Player 1
20180425_151513,47,74,313.5283,Player 2
20180425_151513,48,76,357.0548,Player 2
20180425_151513,49,118,546.0149,Player 1
20180425_151513,50,175,784.1064,Player 1
20180425_151513,51,138,609.1626,Player 2
20180425_151513,52,1453,3506.0173,Player 1
20180425_151513,53,41,214.8897,Player 1
20180425_151513,54,392,1738.3487,Player 2
20180425_151513,55,2,5.7501,Player 1
20180425_151513,56,42,183.9453,Player 2
20180425_151513,57,62,281.4494,Player 2
20180425_151513,58,1092,3714.0061,Player 2
20180425_151513,59,352,1333.9154,Player 2
20180425_151513,60,2000,5616.1799,
20180425_151513,61,1068,3273.7771,Player 2
20180425_151513,62,137,668.2879,Player 1
20180425_151513,63,648,2498.642,Player 2
20180425_151513,64,358,1399.3299,Player 1
20180425_151513,65,1452,4159.4281,Player 2
20180425_151513,66,441,1490.2258,Player 1
20180425_151513,67,372,1524.9805,Player 2
20180425_151513,68,2000,5378.2713,
20180425_151513,69,991,3143.0173,Player 1
20180425_151513,70,229,936.1976,Player 1
20180425_151513,71,84,402.8325,Player 2
20180425_151513,72,7,34.7918,Player 1
20180425_151513,73,374,1690.6928,Player 1
20180425_151513,74,376,1411.6751,Player 2
20180425_151513,75,190,763.8944,Player 2
20180425_151513,76,310,1264.7135,Player 1
20180425_151513,77,17,66.3077,Player 1
20180425_151513,78,38,154.6595,Player 1
20180425_151513,79,2000,3786.5179,
20180425_151513,80,1533,4228.9462,Player 2
20180425_151513,81,390,1522.7253,Player 2
20180425_151513,82,450,1573.7459,Player 2
20180425_151513,83,236,1006.2727,Player 1
20180425_151513,84,700,2137.7964,Player 2
20180425_151513,85,171,692.5451,Player 1
20180425_151513,86,47,190.8374,Player 1
20180425_151513,87,8,36.2955,Player 1
20180425_151513,88,96,497.4053,Player 2
20180425_151513,89,92,534.5407,Player 1
20180425_151513,90,270,1135.2745,Player 2
20180425_151513,91,24,133.1314,Player 2
20180425_151513,92,40,177.6936,Player 2
20180425_151513,93,2000,5308.7162,
20180425_151513,94,1168,3301.3398,Player 1
20180425_151513,95,73,471.3667,Player 1
20180425_151513,96,926,3579.4667,Player 2
20180425_151513,97,576,2580.8205,Player 2
20180425_151513,98,257,1098.77,Player 1
20180425_151513,99,960,3081.7904,Player 2
20180425_151513,100,2000,4770.3636,
20180425_151513,101,1,0.0866,Player 1
20180425_151513,102,63,271.3504,Player 1
20180425_151513,103,210,797.9087,Player 1
20180425_151513,104,352,1526.1915,Player 1
20180425_151513,105,706,2046.8244,Player 2
20180425_151513,106,476,1705.7889,Player 2
20180425_151513,107,1417,3923.4094,Player 2
20180425_151513,108,36,195.9056,Player 1
20180425_151513,109,105,419.1513,Player 1
20180425_151513,110,1388,3724.7036,Player 1
20180425_151513,111,25,142.1382,Player 1
20180425_151513,112,1588,4110.3025,Player 1
20180425_151513,113,1930,3944.2068,Player 1
20180425_151513,114,238,1259.5107,Player 2
20180425_151513,115,1094,2878.1671,Player 2
20180425_151513,116,37,193.6042,Player 1
20180425_151513,117,322,1098.3275,Player 1
20180425_151513,118,244,995.3663,Player 2
20180425_151513,119,1536,3600.3106,Player 2
20180425_151513,120,44,216.3936,Player 2
20180425_151513,121,208,834.0237,Player 2
20180425_151513,122,189,770.9591,Player 1
20180425_151513,123,292,1096.159,Player 2
20180425_151513,124,69,281.1848,Player 1
20180425_151513,125,574,1635.3316,Player 1
20180425_151513,126,972,2250.1021,Player 2
20180425_151513,127,60,279.9765,Player 2
20180425_151513,128,394,1602.3422,Player 1
20180425_151513,129,18,74.3265,Player 1
20180425_151513,130,634,2241.9618,Player 2
20180425_151513,131,114,509.5145,Player 2
20180425_151513,132,41,164.3069,Player 1
20180425_151513,133,72,320.6361,Player 2
20180425_151513,134,280,1167.8557,Player 2
20180425_151513,135,1924,5554.6401,Player 2
20180425_151513,136,1230,2773.7022,Player 2
20180425_151513,137,2000,5255.8297,
20180425_151513,138,1402,2952.2279,Player 2
20180425_151513,139,1950,5214.189,Player 2
20180425_151513,140,2000,4186.5327,
20180425_151513,141,468,1862.4072,Player 2
20180425_151513,142,89,408.4921,Player 1
20180425_151513,143,162,652.0736,Player 1
20180425_151513,144,1877,4429.7621,Player 2
20180425_151513,145,116,575.9818,Player 2
20180425_151513,146,2000,4817.1827,
20180425_151513,147,290,1170.2528,Player 2
20180425_151513,148,30,128.544,Player 1
20180425_151513,149,51,238.5884,Player 1
20180425_151513,150,414,1633.6319,Player 1
20180425_151513,151,114,523.4142,Player 1
20180425_151513,152,96,403.1286,Player 1
20180425_151513,153,235,859.0268,Player 1
20180425_151513,154,1503,4103.1482,Player 2
20180425_151513,155,97,491.8603,Player 1
20180425_151513,156,266,968.3483,Player 2
20180425_151513,157,760,2214.3459,Player 2
20180425_151513,158,302,1143.0273,Player 1
20180425_151513,159,186,820.3715,Player 2
20180425_151513,160,57,239.9434,Player 1
20180425_151513,161,38,166.6959,Player 1
20180425_151513,162,28,126.6055,Player 1
20180425_151513,163,732,2049.8235,Player 2
20180425_151513,164,1426,4230.876,Player 2
20180425_151513,165,646,1953.9478,Player 2
20180425_151513,166,582,2056.1876,Player 1
20180425_151513,167,291,1150.5415,Player 1
20180425_151513,168,286,1290.1861,Player 2
20180425_151513,169,477,1756.2684,Player 1
20180425_151513,170,326,1311.3603,Player 2
20180425_151513,171,110,512.6831,Player 2
20180425_151513,172,1504,4353.6512,Player 2
20180425_151513,173,250,1214.3919,Player 2
20180425_151513,174,736,2684.7654,Player 1
20180425_151513,175,214,872.5847,Player 2
20180425_151513,176,1052,3054.3304,Player 1
20180425_151513,177,2000,4918.9224,
20180425_151513,178,1578,3659.5056,Player 2
20180425_151513,179,1299,3178.0714,Player 1
20180425_151513,180,639,2191.4028,Player 1
20180425_151513,181,718,1959.2221,Player 2
20180425_151513,182,770,2731.9231,Player 2
20180425_151513,183,90,422.1639,Player 2
20180425_151513,184,317,1276.2919,Player 1
20180425_151513,185,478,1562.9474,Player 2
20180425_151513,186,1214,3105.749,Player 2
20180425_151513,187,264,1087.9441,Player 2
20180425_151513,188,679,2055.4209,Player 1
20180425_151513,189,1126,3203.5428,Player 2
20180425_151513,190,1452,4260.8031,Player 2
20180425_151513,191,152,654.3712,Player 2
20180425_151513,192,1084,3302.8162,Player 2
20180425_151513,193,142,756.0641,Player 1
20180425_151513,194,212,796.0664,Player 1
20180425_151513,195,30,187.4771,Player 1
20180425_151513,196,162,706.3558,Player 2
20180425_151513,197,12,51.216,Player 1
20180425_151513,198,1022,3493.4676,Player 2
20180425_151513,199,35,152.9402,Player 1
20180425_151513,200,530,1791.208,Player 1
20180425_151513,201,404,1562.2357,Player 2
20180425_151513,202,157,641.1288,Player 1
20180425_151513,203,779,2166.4023,Player 1
20180425_151513,204,796,2114.7681,Player 1
20180425_151513,205,608,1940.5117,Player 1
20180425_151513,206,80,373.6605,Player 2
20180425_151513,207,638,2004.3219,Player 2
20180425_151513,208,467,1529.1766,Player 1
20180425_151513,209,26,122.9101,Player 2
20180425_151513,210,26,139.7756,Player 1
20180425_151513,211,1422,3234.0165,Player 2
20180425_151513,212,129,561.6114,Player 1
20180425_151513,213,1565,3518.2684,Player 1
20180425_151513,214,1858,4322.2627,Player 2
20180425_151513,215,158,738.4854,Player 2
20180425_151513,216,328,1262.8771,Player 2
20180425_151513,217,52,301.8692,Player 1
20180425_151513,218,116,511.552,Player 2
20180425_151513,219,848,2550.1829,Player 2
20180425_151513,220,616,1793.3743,Player 2
20180425_151513,221,2000,4567.0604,
20180425_151513,222,230,1133.4446,Player 1
20180425_151513,223,1533,4793.9335,Player 1
20180425_151513,224,810,3260.5543,Player 2
20180425_151513,225,5,17.6427,Player 1
20180425_151513,226,50,223.2699,Player 1
20180425_151513,227,101,417.2859,Player 1
20180425_151513,228,1054,2959.1372,Player 2
20180425_151513,229,74,389.0717,Player 2
20180425_151513,230,528,1906.6469,Player 2
20180425_151513,231,448,2007.9058,Player 1
20180425_151513,232,107,537.4767,Player 1
20180425_151513,233,114,468.4378,Player 2
20180425_151513,234,156,720.1153,Player 1
20180425_151513,235,80,344.3047,Player 2
20180425_151513,236,2000,4430.0041,
20180425_151513,237,82,391.6969,Player 2
20180425_151513,238,28,122.6722,Player 2
20180425_151513,239,564,2378.5847,Player 2
20180425_151513,240,108,549.1258,Player 1
20180425_151513,241,112,430.957,Player 2
20180425_151513,242,2,9.0837,Player 2
20180425_151513,243,634,2384.307,Player 2
20180425_151513,244,1,0.0916,Player 1
20180425_151513,245,347,1675.3389,Player 1
20180425_151513,246,144,564.315,Player 2
20180425_151513,247,188,839.5473,Player 2
20180425_151513,248,1844,6122.1381,Player 1
20180425_151513,249,94,610.6762,Player 2
