Session,Game,Turns,Elapsed,Winners
20180425_151450,0,225,26.9899,Player 1
20180425_151450,1,443,31.0613,Player 1
20180425_151450,2,1745,72.162,Player 2
20180425_151450,3,211,22.5892,Player 1
20180425_151450,4,1074,44.4387,Player 1
20180425_151450,5,96,9.602,Player 2
20180425_151450,6,665,41.9672,Player 1
20180425_151450,7,1743,63.588,Player 2
20180425_151450,8,74,6.0933,Player 2
20180425_151450,9,71,6.0351,Player 1
20180425_151450,10,89,7.4226,Player 1
20180425_151450,11,472,36.6113,Player 2
20180425_151450,12,331,28.7479,Player 1
20180425_151450,13,7,1.0705,Player 1
20180425_151450,14,156,14.8763,Player 2
20180425_151450,15,1306,56.0463,Player 1
20180425_151450,16,2000,60.2169,
20180425_151450,17,1640,89.7738,Player 1
20180425_151450,18,870,39.4058,Player 2
20180425_151450,19,823,44.098,Player 1
20180425_151450,20,599,37.5513,Player 1
20180425_151450,21,1277,59.2257,Player 1
20180425_151450,22,16,1.4111,Player 2
20180425_151450,23,44,3.6988,Player 2
20180425_151450,24,22,1.8267,Player 2
20180425_151450,25,373,24.2562,Player 1
20180425_151450,26,50,4.4969,Player 2
20180425_151450,27,2000,95.2977,
20180425_151450,28,186,15.5845,Player 2
20180425_151450,29,66,5.8387,Player 2
20180425_151450,30,761,42.2101,Player 1
20180425_151450,31,265,20.9243,Player 1
20180425_151450,32,1686,50.1452,Player 2
20180425_151450,33,691,31.6882,Player 1
20180425_151450,34,1221,44.8651,Player 2
20180425_151450,35,1433,59.8081,Player 2
20180425_151450,36,554,40.0231,Player 2
20180425_151450,37,1871,58.5233,Player 2
20180425_151450,38,81,5.839,Player 1
20180425_151450,39,233,16.2239,Player 1
20180425_151450,40,262,18.8476,Player 2
20180425_151450,41,827,49.4024,Player 1
20180425_151450,42,241,17.4279,Player 1
20180425_151450,43,454,27.8368,Player 2
20180425_151450,44,223,16.0726,Player 1
20180425_151450,45,707,46.1811,Player 1
20180425_151450,46,747,54.6734,Player 1
20180425_151450,47,413,30.3434,Player 1
20180425_151450,48,559,32.5,Player 1
20180425_151450,49,656,34.7005,Player 2
20180425_151450,50,148,11.7314,Player 2
20180425_151450,51,1800,73.3716,Player 1
20180425_151450,52,1190,44.1293,Player 2
20180425_151450,53,1288,48.5716,Player 2
20180425_151450,54,488,28.9317,Player 2
20180425_151450,55,1016,46.2757,Player 1
20180425_151450,56,44,4.0869,Player 2
20180425_151450,57,369,23.8951,Player 1
20180425_151450,58,8,0.8159,Player 2
20180425_151450,59,1024,59.5043,Player 2
20180425_151450,60,21,1.7336,Player 1
20180425_151450,61,2000,64.4338,
20180425_151450,62,301,20.9009,Player 1
20180425_151450,63,111,8.8115,Player 1
20180425_151450,64,1762,49.7214,Player 1
20180425_151450,65,1120,39.4342,Player 1
20180425_151450,66,2000,66.852,
20180425_151450,67,832,45.0213,Player 2
20180425_151450,68,149,12.039,Player 1
20180425_151450,69,179,12.8847,Player 1
20180425_151450,70,1519,92.7372,Player 2
20180425_151450,71,1805,46.2558,Player 2
20180425_151450,72,429,28.1456,Player 1
20180425_151450,73,5,0.4515,Player 1
20180425_151450,74,53,3.9807,Player 1
20180425_151450,75,275,20.6919,Player 1
20180425_151450,76,27,2.5557,Player 1
20180425_151450,77,470,28.4833,Player 2
20180425_151450,78,629,40.6491,Player 1
20180425_151450,79,2000,71.9934,
20180425_151450,80,1762,73.2905,Player 2
20180425_151450,81,133,11.9869,Player 1
20180425_151450,82,41,4.4144,Player 1
20180425_151450,83,1689,67.0171,Player 1
20180425_151450,84,886,66.9194,Player 2
20180425_151450,85,1032,58.0703,Player 2
20180425_151450,86,24,1.9567,Player 2
20180425_151450,87,1756,74.7263,Player 2
20180425_151450,88,52,3.8791,Player 2
20180425_151450,89,2000,59.8628,
20180425_151450,90,1225,54.7826,Player 1
20180425_151450,91,276,21.7271,Player 2
20180425_151450,92,631,38.1972,Player 1
20180425_151450,93,510,32.5559,Player 2
20180425_151450,94,528,26.7593,Player 2
20180425_151450,95,519,33.0707,Player 1
20180425_151450,96,121,9.7472,Player 1
20180425_151450,97,1418,61.675,Player 2
20180425_151450,98,1691,54.6688,Player 2
20180425_151450,99,657,27.896,Player 2
20180425_151450,100,2000,68.562,
20180425_151450,101,509,30.7663,Player 1
20180425_151450,102,97,7.5847,Player 1
20180425_151450,103,145,11.7422,Player 1
20180425_151450,104,822,52.3963,Player 2
20180425_151450,105,234,14.9365,Player 2
20180425_151450,106,353,25.3812,Player 1
20180425_151450,107,1192,43.7061,Player 2
20180425_151450,108,138,11.9348,Player 2
20180425_151450,109,259,21.7461,Player 1
20180425_151450,110,1367,48.7129,Player 2
20180425_151450,111,2000,179.1721,
20180425_151450,112,1649,71.999,Player 2
20180425_151450,113,310,21.5418,Player 2
20180425_151450,114,734,49.6117,Player 2
20180425_151450,115,1505,93.4331,Player 2
20180425_151450,116,36,4.0155,Player 2
20180425_151450,117,41,5.7147,Player 1
20180425_151450,118,987,51.6237,Player 2
20180425_151450,119,1809,91.0217,Player 2
20180425_151450,120,2000,74.6355,
20180425_151450,121,248,16.895,Player 2
20180425_151450,122,691,54.3111,Player 1
20180425_151450,123,341,38.5173,Player 1
20180425_151450,124,390,30.8038,Player 2
20180425_151450,125,1061,35.2946,Player 1
20180425_151450,126,43,4.4738,Player 1
20180425_151450,127,22,1.961,Player 2
20180425_151450,128,142,10.7612,Player 2
20180425_151450,129,1524,44.9201,Player 1
20180425_151450,130,1345,43.1238,Player 1
20180425_151450,131,1329,70.2158,Player 1
20180425_151450,132,1342,57.6527,Player 1
20180425_151450,133,62,4.933,Player 2
20180425_151450,134,26,2.6309,Player 2
20180425_151450,135,2000,79.2437,
20180425_151450,136,192,17.065,Player 2
20180425_151450,137,367,35.8138,Player 1
20180425_151450,138,1543,71.0066,Player 2
20180425_151450,139,2000,67.6413,
20180425_151450,140,1282,41.623,Player 1
20180425_151450,141,1424,63.058,Player 1
20180425_151450,142,779,38.3795,Player 2
20180425_151450,143,13,1.4591,Player 1
20180425_151450,144,51,4.2124,Player 1
20180425_151450,145,40,3.9532,Player 2
20180425_151450,146,1406,57.9843,Player 2
20180425_151450,147,29,2.4735,Player 1
