Session,Game,Turns,Elapsed,Winners
20180425_210847,1,1392,2461.0903,Player 2
20180425_210847,2,348,947.3138,Player 2
20180425_210847,3,611,1459.7541,Player 1
20180425_210847,4,285,738.9807,Player 1
20180425_210847,5,258,635.6576,Player 2
20180425_210847,6,1414,1774.0158,Player 1
20180425_210847,7,1145,1980.9294,Player 1
20180425_210847,8,131,307.0646,Player 1
20180425_210847,9,206,525.7566,Player 2
20180425_210847,10,510,1043.6958,Player 2
20180425_210847,11,2,6.5919,Player 2
20180425_210847,12,112,296.476,Player 2
20180425_210847,13,139,354.3481,Player 1
20180425_210847,14,772,1231.2948,Player 2
20180425_210847,15,64,158.2742,Player 2
20180425_210847,16,359,763.7336,Player 1
20180425_210847,17,156,404.7106,Player 2
20180425_210847,18,757,1232.0764,Player 1
20180425_210847,19,261,591.1556,Player 1
20180425_210847,20,827,1598.1052,Player 1
20180425_210847,21,983,1856.9157,Player 1
20180425_210847,22,1278,1906.591,Player 2
20180425_210847,23,518,1014.1573,Player 2
20180425_210847,24,72,169.4847,Player 2
20180425_210847,25,879,1354.6907,Player 1
20180425_210847,26,83,197.0319,Player 1
20180425_210847,27,188,493.8263,Player 2
20180425_210847,28,329,706.9659,Player 1
20180425_210847,29,152,368.0042,Player 2
20180425_210847,30,2000,2292.9729,
20180425_210847,31,57,156.2824,Player 1
20180425_210847,32,368,851.927,Player 2
20180425_210847,33,62,168.457,Player 2
20180425_210847,34,2000,2711.0897,
20180425_210847,35,329,750.2782,Player 1
20180425_210847,36,453,1020.8682,Player 1
20180425_210847,37,399,813.5944,Player 1
20180425_210847,38,372,755.4039,Player 2
20180425_210847,39,372,834.9734,Player 2
20180425_210847,40,566,1161.9533,Player 2
20180425_210847,41,975,1490.0376,Player 1
20180425_210847,42,6,17.9382,Player 2
20180425_210847,43,26,72.2383,Player 2
20180425_210847,44,1594,1993.0146,Player 1
20180425_210847,45,2000,2448.3876,
20180425_210847,46,667,1271.2082,Player 1
20180425_210847,47,1330,1607.5948,Player 1
20180425_210847,48,1755,2383.6405,Player 1
20180425_210847,49,981,1823.4088,Player 1
20180425_210847,50,241,598.2899,Player 1
20180425_210847,51,1198,1739.9977,Player 1
20180425_210847,52,1073,1714.1974,Player 1
20180425_210847,53,1506,2889.8728,Player 2
20180425_210847,54,340,770.8314,Player 2
20180425_210847,55,2000,2614.8899,
20180425_210847,56,75,199.7916,Player 1
20180425_210847,57,1689,1711.8167,Player 1
20180425_210847,58,1426,1418.6017,Player 1
20180425_210847,59,1554,2451.3361,Player 1
20180425_210847,60,74,212.3494,Player 2
20180425_210847,61,1512,2512.2732,Player 1
20180425_210847,62,52,139.4379,Player 2
20180425_210847,63,1138,1599.2486,Player 1
20180425_210847,64,927,1664.8934,Player 1
20180425_210847,65,659,1219.9694,Player 1
20180425_210847,66,599,1357.6609,Player 1
20180425_210847,67,1438,1790.6913,Player 1
20180425_210847,68,1176,1994.8784,Player 2
20180425_210847,69,717,1026.4841,Player 1
20180425_210847,70,2000,2052.5946,
20180425_210847,71,175,414.2317,Player 1
20180425_210847,72,115,294.1261,Player 1
20180425_210847,73,952,1668.9331,Player 1
20180425_210847,74,2000,2592.4823,
20180425_210847,75,76,200.4739,Player 2
20180425_210847,76,2000,2945.5025,
20180425_210847,77,313,730.5037,Player 1
20180425_210847,78,15,42.4671,Player 1
20180425_210847,79,2000,3797.371,
20180425_210847,80,440,1025.573,Player 2
20180425_210847,81,351,838.6743,Player 1
20180425_210847,82,83,216.2759,Player 1
20180425_210847,83,980,1604.0633,Player 2
20180425_210847,84,23,68.5308,Player 1
20180425_210847,85,1906,2530.7305,Player 1
20180425_210847,86,1776,2578.3553,Player 1
20180425_210847,87,39,117.3052,Player 1
20180425_210847,88,100,277.433,Player 2
20180425_210847,89,156,429.4143,Player 2
20180425_210847,90,57,162.597,Player 1
20180425_210847,91,231,560.4667,Player 1
20180425_210847,92,141,366.2106,Player 1
20180425_210847,93,973,1481.0063,Player 1
20180425_210847,94,2000,2934.5074,
20180425_210847,95,381,828.244,Player 1
20180425_210847,96,2000,2624.0028,
20180425_210847,97,1182,1481.0593,Player 1
20180425_210847,98,161,393.2109,Player 1
20180425_210847,99,802,1585.0892,Player 2
20180425_210847,100,1977,2560.9373,Player 1
