Session,Game,Turns,Elapsed,Winners
20180424_171234,0,310,13,Player 2
20180424_171234,1,862,25,Player 2
20180424_171234,2500,1541,29,Player 1
20180424_171234,7500,277,32,Player 1
20180424_171234,7501,138,3,Player 2
20180424_171234,2501,428,11,Player 2
20180424_171234,4,692,17,Player 2
20180424_171234,2502,202,5,Player 2
20180424_171234,7502,533,11,Player 1
20180424_171234,2,460,20,Player 2
20180424_171234,7503,74,2,Player 2
20180424_171234,5,242,7,Player 2
20180424_171234,2503,292,7,Player 2
20180424_171234,6,278,6,Player 2
20180424_171234,3,360,11,Player 2
20180424_171234,2504,469,12,Player 1
20180424_171234,7504,675,17,Player 1
20180424_171234,10,386,10,Player 2
20180424_171234,2505,257,6,Player 1
20180424_171234,7,521,13,Player 1
20180424_171234,11,123,2,Player 1
20180424_171234,8,521,12,Player 1
20180424_171234,7505,1023,23,Player 1
20180424_171234,2506,1948,22,Player 2
20180424_171234,9,614,15,Player 2
20180424_171234,12,1469,30,Player 1
20180424_171234,7506,564,15,Player 2
20180424_171234,2507,619,15,Player 1
20180424_171234,14,1195,22,Player 1
20180424_171234,13,1971,24,Player 2
20180424_171234,22,25,0,Player 1
20180424_171234,23,39,1,Player 1
20180424_171234,7507,1793,27,Player 1
20180424_171234,2508,1675,25,Player 2
20180424_171234,24,239,6,Player 1
20180424_171234,15,743,17,Player 1
20180424_171234,7508,1138,20,Player 2
20180424_171234,5000,595,26,Player 1
20180424_171234,2509,1424,27,Player 2
20180424_171234,25,1579,26,Player 1
20180424_171234,26,138,5,Player 2
20180424_171234,16,1544,31,Player 2
20180424_171234,17,94,2,Player 2
20180424_171234,27,174,4,Player 2
20180424_171234,2510,954,19,Player 2
20180424_171234,18,264,9,Player 2
20180424_171234,7509,493,34,Player 1
20180424_171234,5001,1786,29,Player 2
20180424_171234,7510,460,12,Player 2
20180424_171234,7511,138,4,Player 2
20180424_171234,19,1040,21,Player 2
20180424_171234,28,434,35,Player 2
20180424_171234,7512,358,7,Player 2
20180424_171234,5002,1113,23,Player 1
20180424_171234,20,824,15,Player 2
20180424_171234,7513,422,9,Player 2
20180424_171234,5003,628,14,Player 2
20180424_171234,5004,54,2,Player 2
20180424_171234,21,1161,18,Player 2
20180424_171234,30,149,5,Player 1
20180424_171234,7514,1699,28,Player 1
20180424_171234,5005,1141,23,Player 1
20180424_171234,31,975,19,Player 1
20180424_171234,32,448,9,Player 2
20180424_171234,5006,1396,19,Player 2
20180424_171234,2511,1214,106,Player 2
20180424_171234,2512,7,0,Player 1
