Session,Game,Turns,Elapsed,Winners
20180425_125504,0,1000,41,
20180425_125504,1,1000,27,
20180425_125504,2,1000,18,
20180425_125504,3,1000,13,
20180425_125504,4,1000,19,
20180425_125504,5,1000,23,
20180425_125504,6,1000,16,
20180425_125504,7,1000,13,
20180425_125504,8,1000,5,
20180425_125504,9,1000,5,
20180425_125504,10,11,0,Player 1
20180425_125504,11,11,0,Player 1
20180425_125504,12,11,0,Player 1
20180425_125504,13,11,0,Player 1
20180425_125504,14,11,0,Player 1
20180425_125504,15,11,0,Player 1
20180425_125504,16,11,0,Player 1
20180425_125504,17,11,0,Player 1
20180425_125504,18,1000,28,
20180425_125504,19,1000,15,
20180425_125504,20,1000,22,
20180425_125504,21,1000,19,
20180425_125504,22,1000,6,
20180425_125504,23,5,0,Player 1
20180425_125504,24,5,0,Player 1
20180425_125504,25,5,0,Player 1
20180425_125504,26,5,0,Player 1
20180425_125504,27,5,0,Player 1
20180425_125504,28,5,0,Player 1
20180425_125504,29,5,0,Player 1
20180425_125504,30,5,0,Player 1
20180425_125504,31,5,0,Player 1
20180425_125504,32,1000,26,
20180425_125504,33,1000,19,
20180425_125504,34,1000,8,
20180425_125504,35,1000,9,
20180425_125504,36,1000,16,
20180425_125504,37,1000,24,
20180425_125504,38,1000,6,
20180425_125504,39,1000,6,
20180425_125504,40,1000,25,
20180425_125504,41,1000,13,
20180425_125504,42,1000,19,
20180425_125504,43,1000,16,
20180425_125504,44,1000,13,
20180425_125504,45,1000,24,
20180425_125504,46,1000,16,
20180425_125504,47,1000,40,
20180425_125504,48,1000,15,
20180425_125504,49,1000,24,
20180425_125504,50,1000,19,
20180425_125504,51,1000,7,
20180425_125504,52,1000,9,
20180425_125504,53,1000,16,
20180425_125504,54,1000,38,
20180425_125504,55,1000,18,
20180425_125504,56,1000,17,
20180425_125504,57,1000,13,
20180425_125504,58,1000,7,
20180425_125504,59,1000,7,
20180425_125504,60,1000,11,
20180425_125504,61,1000,16,
20180425_125504,62,1000,4,
20180425_125504,63,1000,5,
20180425_125504,64,1000,5,
20180425_125504,65,1000,20,
20180425_125504,66,25,0,Player 1
20180425_125504,67,25,0,Player 1
20180425_125504,68,1000,10,
20180425_125504,69,1000,11,
20180425_125504,70,1000,21,
20180425_125504,71,5,0,Player 1
20180425_125504,72,1000,6,
20180425_125504,73,1000,6,
20180425_125504,74,1000,20,
20180425_125504,75,1000,3,
20180425_125504,76,1000,2,
20180425_125504,77,1000,12,
20180425_125504,78,1000,11,
20180425_125504,79,1000,14,
20180425_125504,80,1000,27,
20180425_125504,81,1000,6,
20180425_125504,82,1000,4,
20180425_125504,83,1000,3,
20180425_125504,84,1000,3,
20180425_125504,85,1000,34,
20180425_125504,86,1000,12,
20180425_125504,87,1000,17,
20180425_125504,88,1000,27,
20180425_125504,89,1000,10,
20180425_125504,90,1000,10,
20180425_125504,91,1000,27,
20180425_125504,92,1000,7,
20180425_125504,93,1000,10,
20180425_125504,94,1000,9,
20180425_125504,95,1000,34,
20180425_125504,96,1000,3,
20180425_125504,97,1000,12,
20180425_125504,98,1000,12,
20180425_125504,99,1000,16,
20180425_125504,100,1000,28,
20180425_125504,101,1000,8,
20180425_125504,102,1000,20,
20180425_125504,103,1000,16,
20180425_125504,104,1000,12,
20180425_125504,105,1000,15,
20180425_125504,106,1000,24,
20180425_125504,107,1000,5,
20180425_125504,108,1000,4,
20180425_125504,109,1000,23,
20180425_125504,110,1000,20,
20180425_125504,111,1000,28,
20180425_125504,112,1000,5,
20180425_125504,113,1000,5,
20180425_125504,114,1000,8,
20180425_125504,115,1000,7,
20180425_125504,116,1000,19,
20180425_125504,117,1000,16,
20180425_125504,118,1000,13,
20180425_125504,119,1000,19,
20180425_125504,120,1000,21,
20180425_125504,121,1000,21,
20180425_125504,122,1000,11,
20180425_125504,123,1000,14,
20180425_125504,124,1000,19,
20180425_125504,125,1000,19,
20180425_125504,126,1000,13,
20180425_125504,127,1000,3,
20180425_125504,128,1000,4,
20180425_125504,129,1000,16,
20180425_125504,130,1000,10,
20180425_125504,131,1000,10,
20180425_125504,132,1000,9,
20180425_125504,133,1000,3,
20180425_125504,134,1000,3,
20180425_125504,135,1000,3,
20180425_125504,136,1000,17,
20180425_125504,137,1000,19,
20180425_125504,138,1000,32,
20180425_125504,139,1000,14,
20180425_125504,140,1000,11,
20180425_125504,141,1000,3,
20180425_125504,142,1000,4,
20180425_125504,143,1000,18,
20180425_125504,144,1000,15,
20180425_125504,145,1000,14,
20180425_125504,146,1000,3,
20180425_125504,147,1000,3,
20180425_125504,148,1000,4,
20180425_125504,149,1000,3,
20180425_125504,150,1000,3,
20180425_125504,151,1000,7,
20180425_125504,152,1000,8,
20180425_125504,153,1000,17,
20180425_125504,154,1000,19,
20180425_125504,155,1000,30,
20180425_125504,156,1000,24,
20180425_125504,157,1000,19,
20180425_125504,158,1000,10,
20180425_125504,159,1000,18,
20180425_125504,160,1000,17,
20180425_125504,161,1000,29,
20180425_125504,162,1000,14,
20180425_125504,163,1000,26,
20180425_125504,164,1000,21,
20180425_125504,165,1000,3,
20180425_125504,166,1000,2,
20180425_125504,167,1000,3,
20180425_125504,168,1000,3,
20180425_125504,169,1000,19,
20180425_125504,170,1000,3,
20180425_125504,171,1000,3,
20180425_125504,172,1000,9,
20180425_125504,173,1000,11,
20180425_125504,174,1000,13,
20180425_125504,175,1000,7,
20180425_125504,176,1000,17,
20180425_125504,177,1000,14,
20180425_125504,178,1000,21,
20180425_125504,179,1000,26,
20180425_125504,180,1000,12,
20180425_125504,181,1000,17,
20180425_125504,182,1000,3,
20180425_125504,183,1000,3,
20180425_125504,184,1000,24,
20180425_125504,185,1000,5,
20180425_125504,186,1000,9,
20180425_125504,187,1000,11,
20180425_125504,188,1000,8,
20180425_125504,189,1000,12,
20180425_125504,190,1000,23,
20180425_125504,191,1000,11,
20180425_125504,192,1000,7,
20180425_125504,193,1000,21,
20180425_125504,194,1000,8,
20180425_125504,195,1000,4,
20180425_125504,196,1000,3,
20180425_125504,197,1000,4,
20180425_125504,198,1000,3,
20180425_125504,199,1000,3,
20180425_125504,200,1000,3,
20180425_125504,201,1000,28,
20180425_125504,202,1000,10,
20180425_125504,203,1000,11,
20180425_125504,204,1000,22,
20180425_125504,205,1000,8,
20180425_125504,206,1000,8,
20180425_125504,207,1000,10,
20180425_125504,208,1000,20,
20180425_125504,209,1000,10,
20180425_125504,210,1000,16,
20180425_125504,211,1000,8,
20180425_125504,212,1000,17,
20180425_125504,213,1000,30,
20180425_125504,214,1000,10,
20180425_125504,215,1000,28,
20180425_125504,216,1000,22,
20180425_125504,217,1000,22,
20180425_125504,218,1000,25,
20180425_125504,219,15,0,Player 1
20180425_125504,220,15,0,Player 1
20180425_125504,221,15,0,Player 1
20180425_125504,222,15,0,Player 1
20180425_125504,223,15,0,Player 1
20180425_125504,224,1000,16,
20180425_125504,225,1000,16,
20180425_125504,226,1000,36,
20180425_125504,227,1000,11,
20180425_125504,228,5,0,Player 1
20180425_125504,229,5,0,Player 1
20180425_125504,230,5,0,Player 1
20180425_125504,231,5,0,Player 1
20180425_125504,232,5,0,Player 1
20180425_125504,233,5,0,Player 1
20180425_125504,234,5,0,Player 1
20180425_125504,235,5,0,Player 1
20180425_125504,236,1000,7,
20180425_125504,237,1000,7,
20180425_125504,238,1000,5,
20180425_125504,239,1000,5,
20180425_125504,240,1000,5,
20180425_125504,241,1000,14,
20180425_125504,242,1000,3,
20180425_125504,243,1000,2,
20180425_125504,244,1000,3,
20180425_125504,245,1000,19,
20180425_125504,246,1000,31,
20180425_125504,247,1000,8,
20180425_125504,248,1000,11,
20180425_125504,249,1000,19,
