Session,Game,Turns,Elapsed,Winners
20180425_132413,0,964,349,Player 2
20180425_132413,1,178,272,Player 2
20180425_132413,2,1000,465,
20180425_132413,3,42,60,Player 1
20180425_132413,4,1000,428,
20180425_132413,5,1000,422,
20180425_132413,6,9,15,Player 1
20180425_132413,7,998,425,Player 1
20180425_132413,8,1000,414,
20180425_132413,9,1000,475,
20180425_132413,10,21,39,Player 1
20180425_132413,11,6,4,Player 1
20180425_132413,12,674,944,Player 2
20180425_132413,13,1000,372,
20180425_132413,14,1000,362,
20180425_132413,15,12,20,Player 2
20180425_132413,16,726,8,Player 2
20180425_132413,17,334,529,Player 2
20180425_132413,18,1000,468,
20180425_132413,19,1000,244,
20180425_132413,20,1000,371,
20180425_132413,21,1000,301,
20180425_132413,22,52,96,Player 2
20180425_132413,23,384,570,Player 1
20180425_132413,24,14,19,Player 1
20180425_132413,25,1000,327,
20180425_132413,26,6,4,Player 1
20180425_132413,27,6,2,Player 1
20180425_132413,28,6,3,Player 1
20180425_132413,29,1000,444,
20180425_132413,30,74,115,Player 1
20180425_132413,31,754,144,Player 1
20180425_132413,32,1000,566,
20180425_132413,33,1000,491,
20180425_132413,34,5,8,Player 1
20180425_132413,35,5,8,Player 1
20180425_132413,36,68,108,Player 1
20180425_132413,37,144,223,Player 2
20180425_132413,38,1000,356,
20180425_132413,39,141,233,Player 1
20180425_132413,40,1000,160,
20180425_132413,41,1000,483,
20180425_132413,42,900,162,Player 2
20180425_132413,43,1000,273,
20180425_132413,44,1000,509,
20180425_132413,45,1000,311,
20180425_132413,46,22,38,Player 2
20180425_132413,47,1000,359,
20180425_132413,48,1000,354,
20180425_132413,49,1000,450,
20180425_132413,50,1000,426,
20180425_132413,51,1000,218,
20180425_132413,52,722,23,Player 1
20180425_132413,53,1000,441,
20180425_132413,54,1000,381,
20180425_132413,55,1000,422,
20180425_132413,56,6,11,Player 2
20180425_132413,57,722,957,Player 2
20180425_132413,58,1000,359,
20180425_132413,59,20,23,Player 1
20180425_132413,60,1000,276,
20180425_132413,61,1000,414,
20180425_132413,62,1000,243,
20180425_132413,63,24,40,Player 1
20180425_132413,64,360,520,Player 1
20180425_132413,65,1000,483,
20180425_132413,66,1000,373,
20180425_132413,67,1000,426,
20180425_132413,68,50,78,Player 1
20180425_132413,69,550,856,Player 2
20180425_132413,70,1000,417,
20180425_132413,71,1000,439,
20180425_132413,72,1000,409,
20180425_132413,73,1000,211,
20180425_132413,74,1000,234,
20180425_132413,75,11,16,Player 1
20180425_132413,76,5,6,Player 1
20180425_132413,77,1000,533,
20180425_132413,78,1000,283,
20180425_132413,79,1000,477,
20180425_132413,80,1000,496,
20180425_132413,81,14,30,Player 2
20180425_132413,82,1000,449,
20180425_132413,83,204,309,Player 2
20180425_132413,84,20,39,Player 2
20180425_132413,85,1000,260,
20180425_132413,86,168,229,Player 1
20180425_132413,87,384,572,Player 2
20180425_132413,88,1000,480,
20180425_132413,89,1000,428,
20180425_132413,90,1000,540,
20180425_132413,91,1000,608,
20180425_132413,92,694,62,Player 2
20180425_132413,93,1000,518,
20180425_132413,94,46,65,Player 1
20180425_132413,95,1000,459,
20180425_132413,96,162,265,Player 2
20180425_132413,97,34,54,Player 2
20180425_132413,98,884,383,Player 2
20180425_132413,99,8,8,Player 1
20180425_132413,100,16,21,Player 1
20180425_132413,101,5,9,Player 1
20180425_132413,102,1000,269,
20180425_132413,103,108,167,Player 1
20180425_132413,104,1000,487,
20180425_132413,105,1000,371,
20180425_132413,106,24,35,Player 1
20180425_132413,107,552,816,Player 2
20180425_132413,108,1000,314,
20180425_132413,109,520,748,Player 2
20180425_132413,110,560,804,Player 2
20180425_132413,111,30,56,Player 2
20180425_132413,112,648,853,Player 2
20180425_132413,113,63,108,Player 1
20180425_132413,114,30,47,Player 2
20180425_132413,115,1000,556,
20180425_132413,116,1000,178,
20180425_132413,117,1000,584,
20180425_132413,118,1000,498,
20180425_132413,119,1000,244,
20180425_132413,120,1000,407,
20180425_132413,121,54,88,Player 1
20180425_132413,122,1000,458,
20180425_132413,123,26,50,Player 2
20180425_132413,124,440,618,Player 2
20180425_132413,125,1000,457,
20180425_132413,126,56,98,Player 2
20180425_132413,127,1000,356,
20180425_132413,128,1000,417,
20180425_132413,129,12,22,Player 2
20180425_132413,130,1000,527,
20180425_132413,131,1000,452,
20180425_132413,132,238,372,Player 2
20180425_132413,133,1000,400,
20180425_132413,134,1000,155,
20180425_132413,135,378,481,Player 2
20180425_132413,136,118,194,Player 2
20180425_132413,137,1000,354,
20180425_132413,138,84,123,Player 2
20180425_132413,139,1000,169,
20180425_132413,140,1000,255,
20180425_132413,141,76,117,Player 2
20180425_132413,142,6,2,Player 1
20180425_132413,143,6,2,Player 1
20180425_132413,144,6,2,Player 1
20180425_132413,145,48,63,Player 1
20180425_132413,146,1000,482,
20180425_132413,147,17,28,Player 1
20180425_132413,148,1000,251,
20180425_132413,149,1000,288,
20180425_132413,150,1000,317,
20180425_132413,151,1000,314,
20180425_132413,152,1000,374,
20180425_132413,153,1000,161,
20180425_132413,154,1000,282,
20180425_132413,155,1000,628,
20180425_132413,156,374,593,Player 2
20180425_132413,157,1000,406,
20180425_132413,158,1000,271,
20180425_132413,159,14,16,Player 1
20180425_132413,160,220,315,Player 1
20180425_132413,161,1000,457,
20180425_132413,162,24,41,Player 2
20180425_132413,163,1000,501,
20180425_132413,164,764,160,Player 2
20180425_132413,165,8,5,Player 1
20180425_132413,166,76,133,Player 2
20180425_132413,167,1000,475,
20180425_132413,168,1000,470,
20180425_132413,169,1000,409,
20180425_132413,170,1000,296,
20180425_132413,171,78,138,Player 2
20180425_132413,172,1000,399,
20180425_132413,173,1000,149,
20180425_132413,174,5,9,Player 1
20180425_132413,175,374,573,Player 2
20180425_132413,176,6,14,Player 2
20180425_132413,177,32,47,Player 1
20180425_132413,178,1000,255,
20180425_132413,179,123,202,Player 1
20180425_132413,180,30,50,Player 2
20180425_132413,181,1000,444,
20180425_132413,182,252,369,Player 2
20180425_132413,183,1000,287,
20180425_132413,184,1000,242,
20180425_132413,185,312,508,Player 2
20180425_132413,186,1000,407,
20180425_132413,187,1000,389,
20180425_132413,188,28,41,Player 1
20180425_132413,189,22,40,Player 2
20180425_132413,190,1000,217,
20180425_132413,191,1000,190,
20180425_132413,192,214,328,Player 2
20180425_132413,193,82,130,Player 2
20180425_132413,194,1000,405,
20180425_132413,195,94,159,Player 2
20180425_132413,196,564,782,Player 2
20180425_132413,197,1000,400,
20180425_132413,198,172,249,Player 2
20180425_132413,199,1000,176,
20180425_132413,200,1000,357,
20180425_132413,201,1000,302,
20180425_132413,202,1000,411,
20180425_132413,203,826,232,Player 1
20180425_132413,204,60,102,Player 2
20180425_132413,205,862,368,Player 2
20180425_132413,206,1000,390,
20180425_132413,207,1000,429,
20180425_132413,208,390,582,Player 2
20180425_132413,209,8,13,Player 2
20180425_132413,210,1000,400,
20180425_132413,211,268,386,Player 2
20180425_132413,212,214,357,Player 2
20180425_132413,213,1000,342,
20180425_132413,214,1000,362,
20180425_132413,215,1000,406,
20180425_132413,216,1000,527,
20180425_132413,217,1000,874,
20180425_132413,218,1000,491,
20180425_132413,219,722,960,Player 2
20180425_132413,220,1000,330,
20180425_132413,221,728,55,Player 2
20180425_132413,222,442,709,Player 2
20180425_132413,223,1000,478,
20180425_132413,224,1000,487,
20180425_132413,225,1000,388,
20180425_132413,226,250,364,Player 2
20180425_132413,227,72,125,Player 2
20180425_132413,228,110,170,Player 2
20180425_132413,229,82,116,Player 1
20180425_132413,230,1000,513,
20180425_132413,231,387,578,Player 1
20180425_132413,232,308,641,Player 2
20180425_132413,233,1000,490,
20180425_132413,234,68,116,Player 2
20180425_132413,235,1000,454,
20180425_132413,236,56,86,Player 1
20180425_132413,237,1000,393,
20180425_132413,238,48,83,Player 2
20180425_132413,239,1000,553,
20180425_132413,240,1000,428,
20180425_132413,241,1000,525,
20180425_132413,242,1000,437,
20180425_132413,243,1000,270,
20180425_132413,244,48,89,Player 2
20180425_132413,245,1000,404,
20180425_132413,246,1000,299,
20180425_132413,247,1000,513,
20180425_132413,248,1000,453,
20180425_132413,249,1000,288,
