Session,Game,Turns,Elapsed,Winners
20180425_132407,0,98,3,Player 2
20180425_132407,1,1000,33,
20180425_132407,2,26,1,Player 2
20180425_132407,3,284,8,Player 2
20180425_132407,4,1000,22,
20180425_132407,5,1000,25,
20180425_132407,6,580,19,Player 2
20180425_132407,7,316,10,Player 2
20180425_132407,8,84,2,Player 2
20180425_132407,9,310,7,Player 2
20180425_132407,10,202,7,Player 2
20180425_132407,11,762,25,Player 2
20180425_132407,12,410,15,Player 2
20180425_132407,13,1000,25,
20180425_132407,14,17,0,Player 1
20180425_132407,15,1000,23,
20180425_132407,16,345,12,Player 1
20180425_132407,17,334,11,Player 2
20180425_132407,18,1000,41,
20180425_132407,19,84,2,Player 2
20180425_132407,20,210,6,Player 2
20180425_132407,21,1000,29,
20180425_132407,22,370,11,Player 2
20180425_132407,23,1000,22,
20180425_132407,24,1000,32,
20180425_132407,25,1000,29,
20180425_132407,26,60,2,Player 2
20180425_132407,27,8,0,Player 2
20180425_132407,28,22,0,Player 2
20180425_132407,29,1000,18,
20180425_132407,30,1000,27,
20180425_132407,31,276,10,Player 2
20180425_132407,32,1000,23,
20180425_132407,33,1000,34,
20180425_132407,34,948,28,Player 2
20180425_132407,35,1000,40,
20180425_132407,36,1000,28,
20180425_132407,37,1000,24,
20180425_132407,38,1000,29,
20180425_132407,39,36,1,Player 2
20180425_132407,40,18,0,Player 2
20180425_132407,41,152,4,Player 2
20180425_132407,42,1000,30,
20180425_132407,43,1000,26,
20180425_132407,44,278,8,Player 2
20180425_132407,45,11,0,Player 1
20180425_132407,46,9,0,Player 1
20180425_132407,47,1000,25,
20180425_132407,48,258,7,Player 2
20180425_132407,49,36,1,Player 2
20180425_132407,50,26,1,Player 2
20180425_132407,51,12,0,Player 2
20180425_132407,52,76,3,Player 2
20180425_132407,53,38,1,Player 2
20180425_132407,54,50,3,Player 2
20180425_132407,55,1000,19,
20180425_132407,56,16,0,Player 2
20180425_132407,57,18,0,Player 2
20180425_132407,58,824,18,Player 2
20180425_132407,59,854,18,Player 2
20180425_132407,60,1000,20,
20180425_132407,61,1000,27,
20180425_132407,62,46,1,Player 2
20180425_132407,63,26,1,Player 2
20180425_132407,64,22,1,Player 2
20180425_132407,65,28,1,Player 2
20180425_132407,66,16,0,Player 2
20180425_132407,67,2,0,Player 2
20180425_132407,68,40,1,Player 2
20180425_132407,69,1000,26,
20180425_132407,70,494,16,Player 2
20180425_132407,71,1000,33,
20180425_132407,72,1000,28,
20180425_132407,73,58,2,Player 2
20180425_132407,74,516,14,Player 2
20180425_132407,75,36,1,Player 2
20180425_132407,76,50,1,Player 2
20180425_132407,77,62,2,Player 2
20180425_132407,78,160,5,Player 2
20180425_132407,79,356,9,Player 2
20180425_132407,80,1000,32,
20180425_132407,81,1000,20,
20180425_132407,82,1000,21,
20180425_132407,83,1000,29,
20180425_132407,84,280,9,Player 2
20180425_132407,85,11,0,Player 1
20180425_132407,86,11,0,Player 1
20180425_132407,87,11,0,Player 1
20180425_132407,88,11,0,Player 1
20180425_132407,89,11,0,Player 1
20180425_132407,90,11,0,Player 1
20180425_132407,91,1000,24,
20180425_132407,92,1000,22,
20180425_132407,93,832,30,Player 2
20180425_132407,94,1000,26,
20180425_132407,95,164,5,Player 2
20180425_132407,96,410,12,Player 2
20180425_132407,97,1000,24,
20180425_132407,98,1000,27,
20180425_132407,99,1000,20,
20180425_132407,100,130,3,Player 2
20180425_132407,101,1000,16,
20180425_132407,102,958,25,Player 2
20180425_132407,103,1000,25,
20180425_132407,104,280,8,Player 2
20180425_132407,105,220,7,Player 2
20180425_132407,106,176,6,Player 2
20180425_132407,107,824,29,Player 2
20180425_132407,108,144,4,Player 2
20180425_132407,109,360,11,Player 2
20180425_132407,110,582,15,Player 2
20180425_132407,111,1000,29,
20180425_132407,112,1000,24,
20180425_132407,113,558,18,Player 2
20180425_132407,114,146,4,Player 2
20180425_132407,115,1000,15,
20180425_132407,116,648,20,Player 2
20180425_132407,117,951,27,Player 1
20180425_132407,118,1000,31,
20180425_132407,119,140,5,Player 2
20180425_132407,120,68,3,Player 2
20180425_132407,121,294,9,Player 2
20180425_132407,122,850,19,Player 2
20180425_132407,123,1000,21,
20180425_132407,124,1000,23,
20180425_132407,125,1000,24,
20180425_132407,126,5,0,Player 1
20180425_132407,127,5,0,Player 1
20180425_132407,128,5,0,Player 1
20180425_132407,129,1000,23,
20180425_132407,130,224,6,Player 2
20180425_132407,131,1000,19,
20180425_132407,132,15,0,Player 1
20180425_132407,133,15,0,Player 1
20180425_132407,134,13,0,Player 1
20180425_132407,135,15,0,Player 1
20180425_132407,136,13,0,Player 1
20180425_132407,137,17,0,Player 1
20180425_132407,138,17,0,Player 1
20180425_132407,139,170,4,Player 2
20180425_132407,140,16,0,Player 2
20180425_132407,141,18,0,Player 2
20180425_132407,142,66,1,Player 2
20180425_132407,143,596,13,Player 2
20180425_132407,144,916,24,Player 2
20180425_132407,145,632,18,Player 2
20180425_132407,146,1000,32,
20180425_132407,147,5,0,Player 1
20180425_132407,148,5,0,Player 1
20180425_132407,149,5,0,Player 1
20180425_132407,150,5,0,Player 1
20180425_132407,151,1000,22,
20180425_132407,152,80,2,Player 2
20180425_132407,153,114,3,Player 2
20180425_132407,154,109,5,Player 1
20180425_132407,155,340,9,Player 2
20180425_132407,156,1000,30,
20180425_132407,157,204,9,Player 2
20180425_132407,158,810,30,Player 2
20180425_132407,159,1000,21,
20180425_132407,160,1000,22,
20180425_132407,161,1000,16,
20180425_132407,162,26,1,Player 2
