Session,Game,Turns,Elapsed,Winners
20180425_133635,0,1000,98,
20180425_133635,1,25,413,Player 1
20180425_133635,2,494,218,Player 2
20180425_133635,3,686,538,Player 1
20180425_133635,4,85,786,Player 1
20180425_133635,5,978,15,Player 2
20180425_133635,6,24,103,Player 2
20180425_133635,7,377,660,Player 1
20180425_133635,8,364,289,Player 1
20180425_133635,9,114,462,Player 2
20180425_133635,10,1000,9,
20180425_133635,11,153,643,Player 1
20180425_133635,12,64,491,Player 1
20180425_133635,13,189,712,Player 1
