Session,Game,Turns,Elapsed,Winners
20180425_132758,0,27,71,Player 1
20180425_132758,1,69,209,Player 1
20180425_132758,2,27,77,Player 1
20180425_132758,3,1000,578,
20180425_132758,4,1000,517,
20180425_132758,5,17,67,Player 1
20180425_132758,6,976,456,Player 2
20180425_132758,7,16,44,Player 2
20180425_132758,8,1000,783,
20180425_132758,9,1000,435,
20180425_132758,10,1000,455,
20180425_132758,11,1000,26,
20180425_132758,12,1000,422,
20180425_132758,13,1000,610,
20180425_132758,14,1000,813,
20180425_132758,15,608,149,Player 2
20180425_132758,16,1000,388,
20180425_132758,17,36,104,Player 2
20180425_132758,18,1000,584,
20180425_132758,19,1000,590,
20180425_132758,20,217,555,Player 1
20180425_132758,21,344,668,Player 2
20180425_132758,22,954,268,Player 1
20180425_132758,23,1000,498,
20180425_132758,24,505,13,Player 1
20180425_132758,25,1000,523,
20180425_132758,26,937,412,Player 1
20180425_132758,27,1000,479,
20180425_132758,28,274,722,Player 2
20180425_132758,29,47,125,Player 1
20180425_132758,30,19,56,Player 1
20180425_132758,31,54,152,Player 2
20180425_132758,32,199,451,Player 1
20180425_132758,33,265,622,Player 1
20180425_132758,34,590,965,Player 2
20180425_132758,35,557,229,Player 1
20180425_132758,36,1000,569,
20180425_132758,37,94,255,Player 2
20180425_132758,38,167,408,Player 1
20180425_132758,39,1000,704,
20180425_132758,40,215,524,Player 1
20180425_132758,41,631,131,Player 1
20180425_132758,42,17,51,Player 1
20180425_132758,43,929,642,Player 1
20180425_132758,44,46,114,Player 2
20180425_132758,45,1000,581,
20180425_132758,46,1000,91,
20180425_132758,47,1000,651,
20180425_132758,48,1000,526,
20180425_132758,49,117,326,Player 1
20180425_132758,50,181,460,Player 1
20180425_132758,51,51,134,Player 1
20180425_132758,52,401,970,Player 1
20180425_132758,53,8,22,Player 2
20180425_132758,54,1000,468,
20180425_132758,55,1000,221,
20180425_132758,56,1000,897,
20180425_132758,57,1000,89,
20180425_132758,58,24,76,Player 2
20180425_132758,59,38,116,Player 2
20180425_132758,60,278,636,Player 2
20180425_132758,61,476,976,Player 2
20180425_132758,62,684,248,Player 1
20180425_132758,63,1000,481,
20180425_132758,64,471,27,Player 1
20180425_132758,65,1000,379,
20180425_132758,66,1000,502,
20180425_132758,67,1000,697,
20180425_132758,68,772,573,Player 2
20180425_132758,69,65,195,Player 1
20180425_132758,70,1000,573,
20180425_132758,71,1000,602,
20180425_132758,72,623,998,Player 1
