Session,Game,Turns,Elapsed,Winners
20180425_132004,0,1000,32,
20180425_132004,1,1000,34,
20180425_132004,2,1,0,Player 1
20180425_132004,3,3,0,Player 1
20180425_132004,4,17,0,Player 1
20180425_132004,5,41,2,Player 1
20180425_132004,6,11,0,Player 1
20180425_132004,7,51,2,Player 1
20180425_132004,8,19,0,Player 1
20180425_132004,9,1000,26,
20180425_132004,10,1000,34,
20180425_132004,11,1000,20,
20180425_132004,12,45,1,Player 1
20180425_132004,13,127,4,Player 1
20180425_132004,14,763,26,Player 1
20180425_132004,15,19,0,Player 1
20180425_132004,16,125,3,Player 1
20180425_132004,17,755,19,Player 1
20180425_132004,18,1000,23,
20180425_132004,19,621,18,Player 1
20180425_132004,20,1000,18,
20180425_132004,21,1000,25,
20180425_132004,22,95,2,Player 1
20180425_132004,23,135,3,Player 1
20180425_132004,24,1000,31,
20180425_132004,25,1000,22,
20180425_132004,26,331,10,Player 1
20180425_132004,27,1000,33,
20180425_132004,28,7,0,Player 1
20180425_132004,29,23,0,Player 1
20180425_132004,30,7,0,Player 1
20180425_132004,31,1,0,Player 1
20180425_132004,32,17,0,Player 1
20180425_132004,33,1000,36,
20180425_132004,34,1000,28,
20180425_132004,35,1000,24,
20180425_132004,36,117,4,Player 1
20180425_132004,37,243,9,Player 1
20180425_132004,38,1000,21,
20180425_132004,39,1000,24,
20180425_132004,40,1000,32,
20180425_132004,41,743,24,Player 1
20180425_132004,42,1000,21,
20180425_132004,43,581,13,Player 1
20180425_132004,44,1000,32,
20180425_132004,45,1000,38,
20180425_132004,46,267,8,Player 1
20180425_132004,47,291,7,Player 1
20180425_132004,48,163,8,Player 1
20180425_132004,49,507,20,Player 1
20180425_132004,50,1000,25,
20180425_132004,51,1000,21,
20180425_132004,52,1000,31,
20180425_132004,53,183,7,Player 1
20180425_132004,54,1000,24,
20180425_132004,55,257,6,Player 1
20180425_132004,56,255,12,Player 1
20180425_132004,57,1000,27,
20180425_132004,58,1000,20,
20180425_132004,59,1000,25,
20180425_132004,60,19,0,Player 1
20180425_132004,61,133,4,Player 1
20180425_132004,62,63,3,Player 1
20180425_132004,63,81,4,Player 1
20180425_132004,64,1000,27,
20180425_132004,65,1000,21,
20180425_132004,66,1000,23,
20180425_132004,67,1000,25,
20180425_132004,68,113,4,Player 1
20180425_132004,69,1000,26,
20180425_132004,70,1000,24,
20180425_132004,71,1000,29,
20180425_132004,72,353,12,Player 1
20180425_132004,73,1000,31,
20180425_132004,74,1000,21,
20180425_132004,75,1000,22,
20180425_132004,76,1000,23,
20180425_132004,77,175,6,Player 1
20180425_132004,78,665,22,Player 1
20180425_132004,79,311,11,Player 1
20180425_132004,80,443,16,Player 1
20180425_132004,81,1000,30,
20180425_132004,82,357,10,Player 1
20180425_132004,83,1000,25,
20180425_132004,84,1000,21,
20180425_132004,85,1000,16,
20180425_132004,86,1000,28,
20180425_132004,87,1000,26,
20180425_132004,88,1000,29,
20180425_132004,89,1000,37,
20180425_132004,90,253,7,Player 1
20180425_132004,91,523,12,Player 1
20180425_132004,92,537,21,Player 1
20180425_132004,93,1000,24,
20180425_132004,94,373,15,Player 1
20180425_132004,95,1000,28,
20180425_132004,96,461,14,Player 1
20180425_132004,97,1000,34,
20180425_132004,98,237,9,Player 1
20180425_132004,99,187,5,Player 1
20180425_132004,100,1000,34,
20180425_132004,101,1000,34,
20180425_132004,102,531,26,Player 1
20180425_132004,103,1000,27,
20180425_132004,104,1000,22,
20180425_132004,105,37,1,Player 1
20180425_132004,106,277,9,Player 1
20180425_132004,107,1000,27,
20180425_132004,108,353,10,Player 1
20180425_132004,109,1000,27,
20180425_132004,110,1000,22,
20180425_132004,111,429,14,Player 1
20180425_132004,112,591,20,Player 1
20180425_132004,113,1000,30,
20180425_132004,114,571,17,Player 1
20180425_132004,115,81,3,Player 1
20180425_132004,116,21,1,Player 1
20180425_132004,117,301,10,Player 1
20180425_132004,118,1000,19,
20180425_132004,119,1000,33,
20180425_132004,120,521,21,Player 1
20180425_132004,121,395,11,Player 1
20180425_132004,122,3,0,Player 1
20180425_132004,123,5,0,Player 1
20180425_132004,124,47,1,Player 1
20180425_132004,125,1,0,Player 1
20180425_132004,126,277,9,Player 1
20180425_132004,127,1000,29,
20180425_132004,128,611,20,Player 1
20180425_132004,129,37,1,Player 1
20180425_132004,130,85,3,Player 1
20180425_132004,131,21,0,Player 1
20180425_132004,132,1000,33,
20180425_132004,133,1000,24,
20180425_132004,134,471,12,Player 1
20180425_132004,135,1000,27,
20180425_132004,136,1000,18,
20180425_132004,137,601,19,Player 1
20180425_132004,138,1000,19,
20180425_132004,139,1000,23,
20180425_132004,140,1000,30,
20180425_132004,141,1000,25,
20180425_132004,142,1000,36,
20180425_132004,143,1000,20,
20180425_132004,144,1000,29,
20180425_132004,145,13,0,Player 1
20180425_132004,146,9,0,Player 1
20180425_132004,147,5,0,Player 1
20180425_132004,148,53,1,Player 1
20180425_132004,149,1000,38,
20180425_132004,150,925,19,Player 1
20180425_132004,151,1000,24,
20180425_132004,152,887,25,Player 1
20180425_132004,153,365,10,Player 1
20180425_132004,154,1000,19,
20180425_132004,155,1000,19,
20180425_132004,156,1000,26,
20180425_132004,157,1000,25,
20180425_132004,158,1000,27,
20180425_132004,159,1000,24,
20180425_132004,160,637,17,Player 1
20180425_132004,161,1000,30,
20180425_132004,162,1000,24,
20180425_132004,163,1000,30,
20180425_132004,164,1000,22,
20180425_132004,165,1000,26,
20180425_132004,166,179,5,Player 1
20180425_132004,167,1000,16,
20180425_132004,168,1000,20,
20180425_132004,169,39,1,Player 1
20180425_132004,170,927,27,Player 1
20180425_132004,171,1000,32,
20180425_132004,172,245,9,Player 1
20180425_132004,173,109,3,Player 1
20180425_132004,174,361,9,Player 1
20180425_132004,175,569,15,Player 1
20180425_132004,176,1000,19,
20180425_132004,177,1000,27,
20180425_132004,178,1000,29,
20180425_132004,179,603,16,Player 1
20180425_132004,180,1000,30,
20180425_132004,181,1000,37,
20180425_132004,182,1000,25,
20180425_132004,183,887,16,Player 1
20180425_132004,184,727,16,Player 1
20180425_132004,185,1000,26,
20180425_132004,186,1000,29,
20180425_132004,187,1000,25,
20180425_132004,188,1000,22,
20180425_132004,189,3,0,Player 1
20180425_132004,190,1,0,Player 1
20180425_132004,191,41,2,Player 1
20180425_132004,192,15,0,Player 1
20180425_132004,193,39,1,Player 1
20180425_132004,194,165,5,Player 1
20180425_132004,195,161,6,Player 1
20180425_132004,196,1000,23,
20180425_132004,197,1000,20,
20180425_132004,198,1000,24,
20180425_132004,199,1000,26,
20180425_132004,200,1000,32,
20180425_132004,201,1000,33,
20180425_132004,202,1000,21,
20180425_132004,203,1000,29,
20180425_132004,204,187,7,Player 1
20180425_132004,205,275,8,Player 1
20180425_132004,206,337,11,Player 1
20180425_132004,207,1000,30,
20180425_132004,208,1000,25,
20180425_132004,209,1000,25,
20180425_132004,210,1000,30,
20180425_132004,211,1000,39,
20180425_132004,212,1000,25,
20180425_132004,213,65,2,Player 1
20180425_132004,214,63,3,Player 1
20180425_132004,215,1000,22,
20180425_132004,216,1000,31,
20180425_132004,217,1000,30,
20180425_132004,218,1000,25,
20180425_132004,219,105,4,Player 1
20180425_132004,220,1000,26,
20180425_132004,221,87,3,Player 1
20180425_132004,222,539,17,Player 1
20180425_132004,223,225,6,Player 1
20180425_132004,224,127,3,Player 1
20180425_132004,225,7,0,Player 1
20180425_132004,226,1000,28,
20180425_132004,227,293,10,Player 1
20180425_132004,228,611,15,Player 1
20180425_132004,229,1000,22,
20180425_132004,230,1000,36,
20180425_132004,231,995,20,Player 1
20180425_132004,232,1000,35,
20180425_132004,233,69,3,Player 1
20180425_132004,234,371,11,Player 1
20180425_132004,235,561,14,Player 1
20180425_132004,236,577,16,Player 1
20180425_132004,237,1000,19,
20180425_132004,238,1000,26,
20180425_132004,239,1000,28,
20180425_132004,240,1000,20,
20180425_132004,241,1000,26,
20180425_132004,242,1000,25,
20180425_132004,243,1000,35,
20180425_132004,244,923,27,Player 1
20180425_132004,245,371,12,Player 1
20180425_132004,246,1000,22,
20180425_132004,247,1000,27,
20180425_132004,248,229,8,Player 1
20180425_132004,249,145,5,Player 1
