Session,Game,Turns,Elapsed,Winners
20180425_125136,0,826,873,Player 1
20180425_125136,1,60,164,Player 1
20180425_125136,2,184,460,Player 2
20180425_125136,3,248,572,Player 2
20180425_125136,4,994,24,Player 2
20180425_125136,5,90,256,Player 2
20180425_125136,6,15,37,Player 1
20180425_125136,7,26,61,Player 1
20180425_125136,8,56,153,Player 1
20180425_125136,9,228,636,Player 2
20180425_125136,10,1000,909,
20180425_125136,11,1000,721,
20180425_125136,12,430,34,Player 2
20180425_125136,13,75,205,Player 1
20180425_125136,14,214,503,Player 2
20180425_125136,15,68,176,Player 1
20180425_125136,16,362,811,Player 2
20180425_125136,17,149,314,Player 1
20180425_125136,18,748,514,Player 1
20180425_125136,19,933,504,Player 1
20180425_125136,20,342,854,Player 2
20180425_125136,21,80,221,Player 2
20180425_125136,22,73,196,Player 1
20180425_125136,23,96,269,Player 2
20180425_125136,24,71,199,Player 1
20180425_125136,25,70,199,Player 2
20180425_125136,26,4,8,Player 1
20180425_125136,27,111,337,Player 1
20180425_125136,28,29,82,Player 1
20180425_125136,29,529,193,Player 1
20180425_125136,30,490,97,Player 2
20180425_125136,31,490,927,Player 1
20180425_125136,32,634,181,Player 2
20180425_125136,33,29,72,Player 1
20180425_125136,34,324,756,Player 1
20180425_125136,35,736,449,Player 2
20180425_125136,36,392,966,Player 1
20180425_125136,37,1000,116,
20180425_125136,38,1000,875,
20180425_125136,39,7,17,Player 1
20180425_125136,40,102,246,Player 2
20180425_125136,41,198,552,Player 2
20180425_125136,42,102,279,Player 2
20180425_125136,43,394,750,Player 1
20180425_125136,44,8,20,Player 1
20180425_125136,45,20,56,Player 1
20180425_125136,46,14,38,Player 1
20180425_125136,47,19,51,Player 1
20180425_125136,48,79,243,Player 1
20180425_125136,49,1000,11,
20180425_125136,50,6,14,Player 1
20180425_125136,51,1000,94,
20180425_125136,52,1000,706,
20180425_125136,53,52,148,Player 2
20180425_125136,54,606,71,Player 2
20180425_125136,55,36,93,Player 1
20180425_125136,56,512,226,Player 2
20180425_125136,57,584,353,Player 2
20180425_125136,58,16,48,Player 2
20180425_125136,59,30,81,Player 1
20180425_125136,60,40,114,Player 1
20180425_125136,61,10,27,Player 2
20180425_125136,62,1000,464,
20180425_125136,63,832,492,Player 1
20180425_125136,64,1000,787,
20180425_125136,65,691,463,Player 1
20180425_125136,66,240,554,Player 2
20180425_125136,67,35,95,Player 1
20180425_125136,68,134,367,Player 2
20180425_125136,69,41,114,Player 1
20180425_125136,70,8,21,Player 1
20180425_125136,71,137,407,Player 1
20180425_125136,72,1000,927,
20180425_125136,73,98,254,Player 1
20180425_125136,74,257,542,Player 1
20180425_125136,75,530,250,Player 2
20180425_125136,76,971,780,Player 1
20180425_125136,77,148,353,Player 2
20180425_125136,78,28,71,Player 2
20180425_125136,79,392,840,Player 2
20180425_125136,80,379,990,Player 1
20180425_125136,81,116,349,Player 2
20180425_125136,82,1000,118,
20180425_125136,83,914,564,
20180425_125136,84,16,46,Player 1
20180425_125136,85,418,955,Player 1
20180425_125136,86,144,368,Player 1
20180425_125136,87,238,574,
20180425_125136,88,320,766,Player 1
20180425_125136,89,632,527,Player 1
20180425_125136,90,454,52,Player 2
20180425_125136,91,1000,919,
20180425_125136,92,1000,971,
20180425_125136,93,282,724,Player 1
20180425_125136,94,1000,560,
20180425_125136,95,298,743,
20180425_125136,96,161,393,Player 1
20180425_125136,97,692,389,Player 1
20180425_125136,98,230,581,Player 2
20180425_125136,99,664,224,Player 2
20180425_125136,100,1000,124,
20180425_125136,101,469,38,Player 1
20180425_125136,102,402,940,Player 2
20180425_125136,103,3,6,Player 1
20180425_125136,104,12,31,Player 1
20180425_125136,105,198,525,Player 2
20180425_125136,106,11,30,Player 1
20180425_125136,107,866,782,Player 2
20180425_125136,108,270,708,Player 1
20180425_125136,109,268,679,Player 2
20180425_125136,110,458,862,Player 2
20180425_125136,111,384,829,Player 2
20180425_125136,112,201,533,Player 1
20180425_125136,113,7,20,Player 1
20180425_125136,114,127,337,Player 1
20180425_125136,115,298,712,Player 1
20180425_125136,116,26,72,Player 2
20180425_125136,117,246,673,Player 1
20180425_125136,118,170,395,Player 2
20180425_125136,119,70,184,Player 2
20180425_125136,120,3,5,Player 1
20180425_125136,121,156,413,Player 2
20180425_125136,122,121,324,Player 1
20180425_125136,123,28,78,Player 2
20180425_125136,124,222,579,Player 1
20180425_125136,125,1000,611,
20180425_125136,126,1000,642,
20180425_125136,127,10,36,Player 1
20180425_125136,128,50,142,Player 1
20180425_125136,129,1000,861,
20180425_125136,130,33,83,Player 1
20180425_125136,131,1000,744,
20180425_125136,132,522,110,Player 2
20180425_125136,133,58,169,Player 2
20180425_125136,134,1000,609,
20180425_125136,135,465,936,Player 1
20180425_125136,136,496,109,Player 2
20180425_125136,137,35,87,Player 1
20180425_125136,138,6,16,Player 2
20180425_125136,139,1000,990,
20180425_125136,140,586,67,Player 2
20180425_125136,141,1,0,Player 1
20180425_125136,142,5,13,Player 1
20180425_125136,143,369,833,Player 1
20180425_125136,144,1000,894,
20180425_125136,145,609,196,Player 1
20180425_125136,146,513,2,Player 1
20180425_125136,147,486,38,Player 2
20180425_125136,148,70,186,Player 2
20180425_125136,149,1000,999,
20180425_125136,150,360,870,Player 2
20180425_125136,151,99,254,Player 1
20180425_125136,152,99,273,Player 1
20180425_125136,153,1000,827,
20180425_125136,154,266,529,Player 2
20180425_125136,155,170,429,Player 1
20180425_125136,156,686,344,Player 2
20180425_125136,157,382,710,Player 1
20180425_125136,158,826,476,Player 2
20180425_125136,159,61,171,Player 1
20180425_125136,160,372,801,Player 2
20180425_125136,161,1000,857,
20180425_125136,162,1000,959,
20180425_125136,163,264,635,Player 2
20180425_125136,164,222,520,Player 1
20180425_125136,165,96,247,Player 1
20180425_125136,166,11,27,Player 1
20180425_125136,167,1000,22,
20180425_125136,168,1000,884,
20180425_125136,169,1000,720,
20180425_125136,170,284,658,Player 1
20180425_125136,171,106,246,Player 1
20180425_125136,172,99,253,Player 1
20180425_125136,173,706,446,Player 1
20180425_125136,174,34,92,Player 2
20180425_125136,175,506,209,Player 2
20180425_125136,176,185,471,Player 1
20180425_125136,177,55,136,Player 1
20180425_125136,178,1000,944,
20180425_125136,179,298,604,Player 2
20180425_125136,180,100,251,Player 1
20180425_125136,181,418,937,Player 2
20180425_125136,182,1000,863,
20180425_125136,183,586,357,Player 2
20180425_125136,184,110,325,Player 1
20180425_125136,185,496,69,Player 2
20180425_125136,186,564,169,Player 2
20180425_125136,187,1000,728,
20180425_125136,188,131,333,Player 1
20180425_125136,189,40,103,Player 2
20180425_125136,190,70,183,Player 1
20180425_125136,191,1000,924,
20180425_125136,192,1000,567,
20180425_125136,193,535,70,Player 1
20180425_125136,194,96,262,Player 1
20180425_125136,195,1000,540,
20180425_125136,196,590,144,Player 2
20180425_125136,197,384,835,Player 1
20180425_125136,198,231,586,Player 1
20180425_125136,199,1000,106,
20180425_125136,200,395,824,Player 1
20180425_125136,201,392,943,Player 1
20180425_125136,202,272,648,Player 2
20180425_125136,203,95,252,Player 1
20180425_125136,204,1000,894,
20180425_125136,205,28,82,Player 2
20180425_125136,206,8,24,Player 2
20180425_125136,207,7,15,Player 1
20180425_125136,208,180,423,Player 2
20180425_125136,209,1000,44,
20180425_125136,210,1000,720,
20180425_125136,211,266,662,Player 2
20180425_125136,212,1000,833,
20180425_125136,213,188,493,Player 1
20180425_125136,214,122,323,Player 1
20180425_125136,215,6,18,Player 2
20180425_125136,216,310,692,Player 2
20180425_125136,217,63,162,Player 1
20180425_125136,218,944,298,Player 2
20180425_125136,219,56,164,Player 2
20180425_125136,220,1000,795,
20180425_125136,221,5,12,Player 1
20180425_125136,222,81,213,Player 1
20180425_125136,223,160,414,Player 2
20180425_125136,224,441,5,Player 1
20180425_125136,225,792,778,Player 2
20180425_125136,226,911,370,Player 1
20180425_125136,227,246,620,Player 1
20180425_125136,228,189,502,Player 1
20180425_125136,229,52,147,Player 2
20180425_125136,230,325,662,Player 1
20180425_125136,231,1000,919,
20180425_125136,232,336,756,Player 2
20180425_125136,233,154,402,
20180425_125136,234,433,897,Player 1
20180425_125136,235,1000,849,
20180425_125136,236,752,440,Player 1
20180425_125136,237,802,509,
20180425_125136,238,1000,493,
20180425_125136,239,190,453,Player 1
20180425_125136,240,175,448,Player 1
20180425_125136,241,78,211,Player 2
20180425_125136,242,288,719,Player 1
20180425_125136,243,1000,901,
20180425_125136,244,1000,592,
20180425_125136,245,60,152,Player 1
20180425_125136,246,7,19,Player 1
20180425_125136,247,1000,826,
20180425_125136,248,100,237,Player 1
20180425_125136,249,61,174,Player 1
