Session,Game,Turns,Elapsed,Winners
20180425_125126,0,223,23,Player 1
20180425_125126,1,1000,37,
20180425_125126,2,363,15,Player 1
20180425_125126,3,62,3,Player 2
20180425_125126,4,192,9,Player 2
20180425_125126,5,303,14,Player 1
20180425_125126,6,1000,25,
20180425_125126,7,120,8,Player 2
20180425_125126,8,84,6,Player 2
20180425_125126,9,167,9,Player 1
20180425_125126,10,1000,27,
20180425_125126,11,481,21,Player 1
20180425_125126,12,1000,29,
20180425_125126,13,1000,29,
20180425_125126,14,110,5,Player 2
20180425_125126,15,44,2,Player 2
20180425_125126,16,359,16,Player 1
20180425_125126,17,233,10,Player 1
20180425_125126,18,17,0,Player 1
20180425_125126,19,65,3,Player 1
20180425_125126,20,301,12,Player 1
20180425_125126,21,945,26,Player 1
20180425_125126,22,1000,31,
20180425_125126,23,66,3,Player 2
20180425_125126,24,178,8,Player 2
20180425_125126,25,356,14,Player 2
20180425_125126,26,310,14,Player 2
20180425_125126,27,56,3,Player 2
20180425_125126,28,1000,28,
20180425_125126,29,295,11,Player 1
20180425_125126,30,254,10,Player 2
20180425_125126,31,10,0,Player 2
20180425_125126,32,78,4,Player 2
20180425_125126,33,1000,29,
20180425_125126,34,811,31,Player 1
20180425_125126,35,1000,31,
20180425_125126,36,1000,39,
20180425_125126,37,1000,27,
20180425_125126,38,1000,35,
20180425_125126,39,15,1,Player 1
20180425_125126,40,29,1,Player 1
20180425_125126,41,175,9,Player 1
20180425_125126,42,1000,33,
20180425_125126,43,378,16,Player 2
20180425_125126,44,1000,28,
20180425_125126,45,1000,30,
20180425_125126,46,504,19,Player 2
20180425_125126,47,831,25,Player 1
20180425_125126,48,258,11,Player 2
20180425_125126,49,1000,29,
20180425_125126,50,1000,27,
20180425_125126,51,1000,33,
20180425_125126,52,203,9,Player 1
20180425_125126,53,241,11,Player 1
20180425_125126,54,985,23,Player 1
20180425_125126,55,1000,25,
20180425_125126,56,418,17,Player 2
20180425_125126,57,1000,30,
20180425_125126,58,9,0,Player 1
20180425_125126,59,79,3,Player 1
20180425_125126,60,1000,35,
20180425_125126,61,1000,30,
